suburb,state,latitude,longitude
Furracabad,NSW,-29.7818,151.6679
Dundee,NSW,-29.5724,151.8663
Spring Mountain,NSW,-28.5973,153.4457
Morven,NSW,-29.6666,151.9262
Reddestone,NSW,-29.5565,151.673
Lambs Valley,NSW,-29.6666,151.9262
Moogem,NSW,-29.6666,151.9262
Diehard,NSW,-29.6666,151.9262
Wellingrove,NSW,-29.6334,151.5692
Kingsgate,NSW,-29.8006,152.0893
Kingsland,NSW,-29.6666,151.9262
Rangers Valley,NSW,-29.5167,151.75
East Ballina,NSW,-28.8571,153.5874
Pimlico Island,NSW,-28.8597,153.5354
Kinvara,NSW,-28.7863,153.5189
Lennox Head,NSW,-28.7913,153.592
Ballina Dc,NSW,-28.8597,153.5354
Pimlico,NSW,-28.9152,153.4846
Coolgardie,NSW,-28.9115,153.4567
South Ballina,NSW,-28.8841,153.5616
Ballina,NSW,-28.8641,153.5654
Tintenbar,NSW,-28.7988,153.522
Empire Vale,NSW,-28.9168,153.5153
Teven,NSW,-28.8167,153.5
West Ballina,NSW,-28.862,153.5329
Cumbalum,NSW,-28.8225,153.5284
Keith Hall,NSW,-28.8935,153.549
Patchs Beach,NSW,-28.9474,153.5147
Skennars Head,NSW,-28.8289,153.6021
Nashua,NSW,-28.7275,153.469
Fernleigh,NSW,-28.7688,153.4985
Knockrow,NSW,-28.7658,153.5371
Coopers Shoot,NSW,-28.6828,153.593
Coorabell,NSW,-28.6333,153.4833
Brooklet,NSW,-28.7465,153.5087
Mcleods Shoot,NSW,-28.6522,153.5585
Bangalow,NSW,-28.6863,153.5215
St Helena,NSW,-28.7057,153.5176
Newrybar,NSW,-28.7206,153.529
Possum Creek,NSW,-28.6773,153.4958
Binna Burra,NSW,-28.7016,153.4988
Nightcap,NSW,-28.7493,153.2724
Mountain Top,NSW,-28.6126,153.1727
Terania Creek,NSW,-28.6186,153.2928
Boat Harbour,NSW,-28.3167,153.35
Caniaba,NSW,-28.8302,153.2036
Mcleans Ridges,NSW,-28.8,153.3833
Lillian Rock,NSW,-28.5349,153.1585
Eureka,NSW,-28.6818,153.4346
Mckees Hill,NSW,-28.8833,153.2
Bentley,NSW,-28.7793,153.1135
Modanville,NSW,-28.7152,153.301
Tullera,NSW,-28.7482,153.2915
Booyong,NSW,-28.746,153.4522
Whian Whian,NSW,-28.6396,153.3145
Georgica,NSW,-28.6562,153.1803
Coffee Camp,NSW,-28.6569,153.2281
Chilcotts Grass,NSW,-28.8299,153.3357
Tregeagle,NSW,-28.8403,153.3487
Loftville,NSW,-28.8413,153.2536
Wyrallah,NSW,-28.8893,153.2991
Monaltrie,NSW,-28.8521,153.2906
Goolmangar,NSW,-28.7508,153.2248
Dorroughby,NSW,-28.6575,153.3547
Nimbin,NSW,-28.5954,153.2234
Bungabbee,NSW,-28.7755,153.1501
Rosebank,NSW,-28.6667,153.4
North Lismore,NSW,-28.7888,153.2803
Blue Knob,NSW,-28.5448,153.1868
Blakebrook,NSW,-28.7603,153.2384
Federal,NSW,-28.6485,153.4512
Gundurimba,NSW,-28.85,153.2667
Tuntable Falls,NSW,-28.7493,153.2724
Steve Kings Plains,NSW,-28.7493,153.2724
Lismore Dc,NSW,-28.7493,153.2724
Back Creek,NSW,-28.6031,153.0298
Tucki Tucki,NSW,-28.9333,153.3167
South Lismore,NSW,-28.8163,153.2562
Boorabee Park,NSW,-28.6863,153.0489
Upper Coopers Creek,NSW,-28.5998,153.4011
Leycester,NSW,-28.7833,153.2
Corndale,NSW,-28.7091,153.3624
Tuckurimba,NSW,-28.9667,153.3167
South Gundurimba,NSW,-28.8852,153.2397
The Channon,NSW,-28.6716,153.2797
Ruthven,NSW,-28.9339,153.2784
Dunoon,NSW,-28.6846,153.3177
Clunes,NSW,-28.7312,153.4074
Lismore,NSW,-28.8135,153.2773
Missingham,NSW,-28.7,153.0333
Stony Chute,NSW,-28.5817,153.1641
Numulgi,NSW,-28.7233,153.327
Fernside,NSW,-28.7818,153.1679
Lismore Heights,NSW,-28.801,153.3005
Booerie Creek,NSW,-28.7825,153.2434
Richmond Hill,NSW,-29.0581,153.2822
Girards Hill,NSW,-28.8169,153.2779
Larnook,NSW,-28.6516,153.1108
Dungarubba,NSW,-28.9833,153.3833
Bexhill,NSW,-28.7499,153.35
Goonellabah,NSW,-28.8167,153.3167
Repentance Creek,NSW,-28.6302,153.4075
Marom Creek,NSW,-28.9015,153.3725
Rock Valley,NSW,-28.7485,153.1679
East Lismore,NSW,-28.8259,153.2888
Lindendale,NSW,-28.8282,153.3757
Howards Grass,NSW,-28.7917,153.306
Tuncester,NSW,-28.8,153.2167
Woodlawn,NSW,-28.7689,153.3188
Tuntable Creek,NSW,-28.6321,153.2602
Clovass,NSW,-28.872,153.149
Eltham,NSW,-28.7596,153.4084
Koonorigan,NSW,-28.6833,153.2333
Jiggi,NSW,-28.677,153.1843
Lagoon Grass,NSW,-28.7944,153.3178
Keerrong,NSW,-28.7128,153.2658
Suffolk Park,NSW,-28.6881,153.6098
Myocum,NSW,-28.596,153.5061
Skinners Shoot,NSW,-28.6703,153.5928
Tyagarah,NSW,-28.609,153.5557
Broken Head,NSW,-28.7291,153.6087
Ewingsdale,NSW,-28.6366,153.5533
Byron Bay,NSW,-28.6499,153.6125
Hayters Hill,NSW,-28.6541,153.577
Talofa,NSW,-28.6541,153.577
Botany,NSW,-33.946,151.1959
Kogarah,NSW,-33.9681,151.1356
Rosebery,NSW,-33.9167,151.2
Eastlakes,NSW,-33.932,151.2121
Banksmeadow,NSW,-33.9566,151.2096
Daceyville,NSW,-33.9288,151.2258
Kingsford,NSW,-33.924,151.2275
Maroubra,NSW,-33.95,151.2333
Maroubra South,NSW,-33.95,151.2333
Pagewood,NSW,-33.9414,151.2109
La Perouse,NSW,-33.9872,151.2317
Matraville,NSW,-33.9634,151.2319
Port Botany,NSW,-33.9745,151.2228
Chifley,NSW,-33.967,151.2422
Malabar,NSW,-33.9622,151.248
Phillip Bay,NSW,-33.9816,151.234
Little Bay,NSW,-33.979,151.243
Hillsdale,NSW,-33.9515,151.2278
Eastgardens,NSW,-33.9451,151.2258
Wolli Creek,NSW,-33.9313,151.1522
Arncliffe,NSW,-33.9363,151.1482
Turrella,NSW,-33.9303,151.1421
Bardwell Park,NSW,-33.9353,151.1257
Bexley,NSW,-33.95,151.1167
Bexley South,NSW,-33.9393,151.1232
Bexley North,NSW,-33.9385,151.1139
Bardwell Valley,NSW,-33.9334,151.1367
Kingsway West,NSW,-33.9393,151.0993
Kingsgrove Dc,NSW,-33.9393,151.0993
Kingsgrove,NSW,-33.9393,151.0993
Rockdale Dc,NSW,-33.9535,151.1481
Kyeemagh,NSW,-33.9513,151.162
Banksia,NSW,-33.946,151.143
Brighton-Le-Sands,NSW,-33.9601,151.1511
Rockdale,NSW,-33.95,151.1333
Brighton Le Sands,NSW,-33.9601,151.1511
Carlton,NSW,-33.9711,151.1214
Allawah,NSW,-33.9726,151.1144
Merimbula,NSW,-36.889,149.9096
Bournda,NSW,-36.8295,149.9033
Mirador,NSW,-36.8777,149.9157
Berrambool,NSW,-36.8815,149.9066
Yellow Pinch,NSW,-36.8614,149.8446
Tura Beach,NSW,-36.8636,149.9303
Lochiel,NSW,-36.9485,149.8179
Greigs Flat,NSW,-36.9652,149.8679
Pambula,NSW,-36.9301,149.8745
Bald Hills,NSW,-36.9117,149.8428
South Pambula,NSW,-36.9471,149.8478
Millingandi,NSW,-36.8862,149.8564
Nethercote,NSW,-37.0152,149.8346
Pambula Beach,NSW,-36.9417,149.9034
Broadwater,NSW,-36.9432,149.8557
Bobundara,NSW,-36.5155,148.9385
Bunyan,NSW,-36.1674,149.1415
Wambrook,NSW,-36.2163,148.9132
Polo Flat,NSW,-36.2315,149.151
Binjura,NSW,-36.1734,149.1083
Pine Valley,NSW,-36.247,149.0605
Rock Flat,NSW,-36.35,149.2
Frying Pan,NSW,-36.1444,148.8413
Myalla,NSW,-36.4167,149.1167
Bungarby,NSW,-36.7052,149.0083
Chakola,NSW,-36.0985,149.1679
Rose Valley,NSW,-34.7235,150.8096
Cooma North,NSW,-36.1196,149.1551
Buckenderra,NSW,-36.179,148.7654
Long Plain,NSW,-36.0083,148.7028
Coolringdon,NSW,-36.2833,148.9833
Middle Flat,NSW,-36.2539,149.1781
Glen Fergus,NSW,-36.197,149.2604
Murrumbucca,NSW,-36.0985,149.0512
Springfield,NSW,-33.3433,149.2635
