suburb,state,assigned_region
Mount Egerton,Victoria,Ballarat
Mount Eliza,,
Mount Emu,Victoria,Ballarat
Mount Evelyn,Victoria,Melbourne - Outer East
Mount Franklin,Victoria,Ballarat
Mount Glasgow,Victoria,Ballarat
Mount Helen,Victoria,Ballarat
Mount Hooghly,Victoria,Ballarat
Mount Lonarch,Victoria,Ballarat
Mount Macedon,,
Mount Major,Victoria,Shepparton
Mount Martha,,
Mount Mercer,,
Mount Moriac,Victoria,Geelong
Mount Napier,Victoria,Warrnambool and South West
Mount Pleasant (Vic.),Victoria,Ballarat
Mount Prospect,Victoria,Ballarat
Mount Richmond,,
Mount Rowan,Victoria,Ballarat
Mount Sabine,Victoria,Warrnambool and South West
Mount Tassie,Victoria,Latrobe - Gippsland
Mount Taylor,Victoria,Latrobe - Gippsland
Mount Toolebewong,Victoria,Melbourne - Outer East
Mount Wallace,Victoria,Ballarat
Mount Waverley,,
Mountain Bay,Victoria,Hume
Mountain View (Vic.),Victoria,Latrobe - Gippsland
Moutajup,Victoria,Warrnambool and South West
Moyhu,Victoria,Hume
Moyreisk,Victoria,North West
Moyston,Victoria,North West
Muckatah,Victoria,Shepparton
Muckleford,Victoria,Bendigo
Muckleford South,Victoria,Bendigo
Mudgegonga,Victoria,Hume
Mulgrave (Vic.),,
Mumbannar,,
Mundoona,Victoria,Shepparton
Munro,Victoria,Latrobe - Gippsland
Muntham,Victoria,Warrnambool and South West
Murchison (Vic.),,
Murchison East,,
Murchison North,Victoria,Shepparton
Murgheboluc,Victoria,Geelong
Murmungee,Victoria,Hume
Murnungin,Victoria,North West
Murphys Creek (Vic.),,
Murra Warra,Victoria,North West
Murrabit,,
Murrabit West,,
Murrawee,Victoria,North West
Murray-sunset,,
Murraydale,,
Murrayville,Victoria,North West
Murrindal,Victoria,Latrobe - Gippsland
Murrindindi,,
Murroon,,
Murrumbeena,Victoria,Melbourne - Inner South
Murtoa,Victoria,North West
Musk,Victoria,Ballarat
Musk Vale,Victoria,Ballarat
Muskerry,,
Myall (Buloke - Vic.),Victoria,North West
Myall (Gannawarra - Vic.),,
Myamyn,Victoria,Warrnambool and South West
Myers Flat,Victoria,Bendigo
Myola (Vic.),,
Myrniong,,
Myrrhee,Victoria,Hume
Myrtle Creek (Vic.),Victoria,Bendigo
Myrtlebank,Victoria,Latrobe - Gippsland
Myrtleford,Victoria,Hume
Mysia,Victoria,Bendigo
Mystic Park,Victoria,North West
Mywee,,
Nagambie,Victoria,Hume
Nalangil,Victoria,Warrnambool and South West
Nalinga,,
Nambrok,Victoria,Latrobe - Gippsland
Nandaly,Victoria,North West
Nangana,,
Nangeela,Victoria,Warrnambool and South West
Nangiloc,,
Nanneella,Victoria,Shepparton
Nap Nap Marra,Victoria,Latrobe - Gippsland
Napoleons,Victoria,Ballarat
Nar Nar Goon,Victoria,Melbourne - South East
Nar Nar Goon North,Victoria,Melbourne - South East
Narbethong,,
Nareeb,,
Nareen,,
Nareewillock,,
Nariel Valley,,
Naring,Victoria,Shepparton
Naringal,Victoria,Warrnambool and South West
Naringal East,Victoria,Warrnambool and South West
Naroghid,Victoria,Warrnambool and South West
Narracan,Victoria,Latrobe - Gippsland
Narraport,Victoria,North West
Narrapumelap South,,
Narrawong,,
Narre Warren,Victoria,Melbourne - South East
Narre Warren East,,
Narre Warren North,,
Narre Warren South,Victoria,Melbourne - South East
Narrung (Vic.),,
Nathalia,Victoria,Shepparton
Natimuk,Victoria,North West
Natte Yallock,,
Natya,,
Navarre,,
Navigators,Victoria,Ballarat
Nayook,Victoria,Latrobe - Gippsland
Neds Corner,,
Neereman,,
Neerim,Victoria,Latrobe - Gippsland
Neerim East,Victoria,Latrobe - Gippsland
Neerim Junction,Victoria,Latrobe - Gippsland
Neerim North,Victoria,Latrobe - Gippsland
Neerim South,Victoria,Latrobe - Gippsland
Neilborough,Victoria,Bendigo
Nelse,,
Nelson (Vic.),,
Nerrena,Victoria,Latrobe - Gippsland
Nerrin Nerrin,,
Nerrina,Victoria,Ballarat
Nerring,Victoria,Ballarat
Netherby (Vic.),Victoria,North West
Neuarpurr,,
New Gisborne,Victoria,Melbourne - North West
Newborough,Victoria,Latrobe - Gippsland
Newbridge (Vic.),Victoria,Bendigo
Newbury,Victoria,Ballarat
Newcomb,,
Newfield,Victoria,Warrnambool and South West
Newham,,
Newhaven,,
Newington (Vic.),Victoria,Ballarat
Newlands Arm,Victoria,Latrobe - Gippsland
Newlyn,Victoria,Ballarat
Newlyn North,Victoria,Ballarat
Newmerella,Victoria,Latrobe - Gippsland
Newport (Vic.),,
Newry,Victoria,Latrobe - Gippsland
Newstead (Vic.),Victoria,Bendigo
Newtown (Golden Plains - Vic.),Victoria,Ballarat
Newtown (Greater Geelong - Vic.),Victoria,Geelong
Nhill,Victoria,North West
Nichols Point,,
Nicholson (Vic.),Victoria,Latrobe - Gippsland
Niddrie,,
Nilma,Victoria,Latrobe - Gippsland
Nilma North,Victoria,Latrobe - Gippsland
Ninda,Victoria,North West
Nine Mile (Vic.),,
Nintingbool,Victoria,Ballarat
Ninyeunook,,
Nirranda,,
Nirranda East,Victoria,Warrnambool and South West
Nirranda South,,
Noble Park,Victoria,Melbourne - South East
Noble Park North,Victoria,Melbourne - South East
Noojee,,
Noorat,Victoria,Warrnambool and South West
Noorat East,Victoria,Warrnambool and South West
Noorinbee,Victoria,Latrobe - Gippsland
Noorinbee North,Victoria,Latrobe - Gippsland
Noradjuha,Victoria,North West
Norlane,Victoria,Geelong
Normanville (Vic.),Victoria,North West
Norong,,
North Bendigo,Victoria,Bendigo
North Blackwood,,
North Geelong,,
North Melbourne,Victoria,Melbourne - Inner
North Shore (Vic.),,
North Wangaratta,Victoria,Hume
North Warrandyte,,
North Wonthaggi,Victoria,Latrobe - Gippsland
Northcote,Victoria,Melbourne - Inner
Northwood (Vic.),Victoria,Hume
Norval,Victoria,North West
Notting Hill,Victoria,Melbourne - South East
Nowa Nowa,Victoria,Latrobe - Gippsland
Nowhere Creek,Victoria,Ballarat
Nowie,Victoria,North West
Nug Nug,Victoria,Hume
Nuggetty,Victoria,Bendigo
Nulla Vale,,
Nullawarre,,
Nullawarre North,Victoria,Warrnambool and South West
Nullawil,Victoria,North West
Numurkah,Victoria,Shepparton
Nunawading,,
Nungurner,Victoria,Latrobe - Gippsland
Nunniong,Victoria,Latrobe - Gippsland
Nurcoung,Victoria,North West
Nurrabiel,Victoria,North West
Nurran,Victoria,Latrobe - Gippsland
Nutfield,Victoria,Melbourne - North East
Nyah,,
Nyah West,Victoria,North West
Nyarrin,Victoria,North West
Nyerimilang,,
Nyora (Vic.),,
Nyrraby,Victoria,North West
Oak Park,Victoria,Melbourne - North West
Oaklands Junction,Victoria,Melbourne - North West
Oakleigh,,
Oakleigh East,Victoria,Melbourne - South East
Oakleigh South,,
Oakvale,,
Ocean Grange,,
Ocean Grove,,
Officer,Victoria,Melbourne - South East
Officer South,Victoria,Melbourne - South East
Old Tallangatta,Victoria,Hume
Olinda (Vic.),Victoria,Melbourne - Outer East
Ombersley,,
Omeo,,
Omeo Valley,Victoria,Latrobe - Gippsland
Ondit,Victoria,Warrnambool and South West
Orbost,Victoria,Latrobe - Gippsland
Orford (Vic.),Victoria,Warrnambool and South West
Ormond,Victoria,Melbourne - Inner South
Orrvale,Victoria,Shepparton
Osbornes Flat,Victoria,Hume
Outtrim,Victoria,Latrobe - Gippsland
Ouyen,Victoria,North West
Ovens,Victoria,Hume
Oxley (Vic.),Victoria,Hume
Oxley Flats,Victoria,Hume
Ozenkadnook,Victoria,North West
Paaratte,Victoria,Warrnambool and South West
Painswick,,
Pakenham,Victoria,Melbourne - South East
Pakenham South,Victoria,Melbourne - South East
Pakenham Upper,Victoria,Melbourne - South East
Panitya (Vic.),,
Panmure,Victoria,Warrnambool and South West
Panton Hill,Victoria,Melbourne - North East
Paradise (Vic.),Victoria,North West
Paradise Beach,,
Paraparap,Victoria,Geelong
Park Orchards,Victoria,Melbourne - Outer East
Parkdale,,
Parkville (Vic.),Victoria,Melbourne - Inner
Parwan,,
Paschendale,Victoria,Warrnambool and South West
Pascoe Vale,,
Pascoe Vale South,,
Pastoria,,
Pastoria East,,
Patchewollock,Victoria,North West
Patho,,
Patterson Lakes,,
Patyah,Victoria,North West
Paynesville (Vic.),Victoria,Latrobe - Gippsland
Pearcedale,,
Pearsondale,Victoria,Latrobe - Gippsland
Peechelba,,
Peechelba East,,
Pelluebla,Victoria,Shepparton
Pennyroyal,,
Penshurst (Vic.),Victoria,Warrnambool and South West
Pental Island,,
Pentland Hills,,
Percydale,Victoria,Ballarat
Peronne,Victoria,North West
Perry Bridge,Victoria,Latrobe - Gippsland
Peterborough (Vic.),,
Petticoat Creek,,
Pheasant Creek (Vic.),Victoria,Melbourne - North East
Piangil,,
Picola,,
Picola West,Victoria,Shepparton
Piedmont,Victoria,Latrobe - Gippsland
Pier Milan,Victoria,North West
Pigeon Ponds,Victoria,Warrnambool and South West
Piggoreet,Victoria,Ballarat
Pimpinio,Victoria,North West
Pine Grove (Vic.),Victoria,Shepparton
Pine Lodge (Vic.),Victoria,Shepparton
Pine Mountain (Vic.),,
Pine View,Victoria,North West
Pioneer Bay,Victoria,Latrobe - Gippsland
Pipers Creek,,
Pira,Victoria,North West
Piries,Victoria,Hume
Pirron Yallock,Victoria,Warrnambool and South West
Pitfield,Victoria,Ballarat
Pittong,,
Plenty (Vic.),Victoria,Melbourne - North East
Plumpton (Vic.),,
Point Cook,,
Point Leo,,
Point Lonsdale,,
Point Wilson,,
Polisbet,Victoria,North West
Pomborneit,Victoria,Warrnambool and South West
Pomborneit East,Victoria,Warrnambool and South West
Pomborneit North,Victoria,Warrnambool and South West
Pomonal,Victoria,North West
Pompapiel,Victoria,Bendigo
Poolaijelo,,
Pootilla,Victoria,Ballarat
Poowong,Victoria,Latrobe - Gippsland
Poowong East,Victoria,Latrobe - Gippsland
Poowong North,,
Porcupine Ridge,Victoria,Ballarat
Porepunkah,Victoria,Hume
Port Albert,,
Port Campbell,,
Port Fairy,,
Port Franklin,,
Port Melbourne,,
Port Welshpool,,
Portarlington,,
Portland (Vic.),,
Portland North,,
Portland West,,
Portsea,,
Pound Creek,Victoria,Latrobe - Gippsland
Powelltown,,
Powers Creek,Victoria,North West
Powlett Plains,Victoria,Bendigo
Prahran,Victoria,Melbourne - Inner
Prairie (Vic.),,
Pranjip,Victoria,Hume
Preston (Vic.),,
Princes Hill,Victoria,Melbourne - Inner
Princetown,,
Puckapunyal,,
Pura Pura,,
Purdeet,Victoria,Warrnambool and South West
Purnim,Victoria,Warrnambool and South West
Purnim West,Victoria,Warrnambool and South West
Pyalong,Victoria,Hume
Pyramid Hill,,
Quambatook,Victoria,North West
Quandong,,
Quantong,Victoria,North West
Quarry Hill,Victoria,Bendigo
Queenscliff (Vic.),,
Raglan (Vic.),,
Rainbow,Victoria,North West
Ranceby,Victoria,Latrobe - Gippsland
Rathscar,Victoria,Ballarat
Rathscar West,Victoria,Ballarat
Ravenhall,Victoria,Melbourne - West
Ravenswood (Vic.),Victoria,Bendigo
Ravenswood South,Victoria,Bendigo
Rawson,Victoria,Latrobe - Gippsland
Raymond Island,Victoria,Latrobe - Gippsland
Raywood,Victoria,Bendigo
Red Cliffs,,
Red Hill (Vic.),Victoria,Mornington Peninsula
Red Hill South,Victoria,Mornington Peninsula
Red Lion,Victoria,Ballarat
Redan,Victoria,Ballarat
Redbank (Vic.),,
Redcastle,,
Redesdale,,
Reedy Creek (Vic.),,
Reedy Dam,Victoria,North West
Reedy Flat,Victoria,Latrobe - Gippsland
Reedy Lake,Victoria,North West
Reefton (Vic.),,
Research,Victoria,Melbourne - North East
Reservoir (Vic.),,
Reynard,,
Rheola,Victoria,Bendigo
Rhyll,,
Rhymney,Victoria,North West
Riachella,Victoria,North West
Rich Avon,Victoria,North West
Rich Avon East,Victoria,North West
Rich Avon West,Victoria,North West
Richmond (Vic.),,
Richmond Plains,,
Riddells Creek,Victoria,Melbourne - North West
Riggs Creek,Victoria,Hume
Ringwood (Vic.),Victoria,Melbourne - Outer East
Ringwood East,Victoria,Melbourne - Outer East
Ringwood North,Victoria,Melbourne - Outer East
Ripplebrook,Victoria,Latrobe - Gippsland
Rippleside,,
Ripponlea,,
Riverside (Vic.),Victoria,North West
Riverslea,Victoria,Latrobe - Gippsland
Robertsons Beach,,
Robinvale,,
Rochester (Vic.),,
Rochford,,
Rockbank,Victoria,Melbourne - West
Rocklands,,
Rocklyn,Victoria,Ballarat
Rocky Point (Vic.),Victoria,North West
Rokeby (Vic.),Victoria,Latrobe - Gippsland
Rokewood,,
Rokewood Junction,,
Romsey,Victoria,Melbourne - North West
Rosanna,Victoria,Melbourne - North East
Rose River,Victoria,Hume
Rosebery (Vic.),Victoria,North West
Rosebrook (Vic.),Victoria,Warrnambool and South West
Rosebud,,
Rosedale (Vic.),Victoria,Latrobe - Gippsland
Roses Gap,Victoria,North West
Rosewhite,Victoria,Hume
Roslynmead,Victoria,Shepparton
Ross Creek (Vic.),Victoria,Ballarat
Rossbridge,Victoria,North West
Rostron,Victoria,North West
Rowsley,,
Rowville,,
Roxburgh Park,Victoria,Melbourne - North West
Rubicon,Victoria,Hume
Ruby,Victoria,Latrobe - Gippsland
Ruffy,Victoria,Hume
Running Creek (Vic.),Victoria,Hume
Runnymede (Vic.),,
Rupanyup,Victoria,North West
Rushworth,Victoria,Shepparton
Russells Bridge,Victoria,Geelong
Rutherglen,,
Ryans,Victoria,Latrobe - Gippsland
Ryanston,Victoria,Latrobe - Gippsland
Rye,,
Rythdale,Victoria,Melbourne - South East
Safety Beach (Vic.),,
Sailors Falls,Victoria,Ballarat
Sailors Gully,Victoria,Bendigo
Sailors Hill,Victoria,Ballarat
Sale,Victoria,Latrobe - Gippsland
Salisbury West,Victoria,Bendigo
Samaria,Victoria,Hume
San Remo (Vic.),,
Sandford (Vic.),Victoria,Warrnambool and South West
Sandhill Lake,Victoria,North West
Sandhurst,,
Sandon (Vic.),,
Sandringham (Vic.),,
Sandy Creek (Vic.),Victoria,Hume
Sandy Point (Vic.),,
Sargood,Victoria,Latrobe - Gippsland
Sarsfield,Victoria,Latrobe - Gippsland
Sassafras (Vic.),Victoria,Melbourne - Outer East
Sawmill Settlement,Victoria,Hume
Scarsdale,Victoria,Ballarat
Scoresby,,
Scotchmans Lead,Victoria,Ballarat
Scotsburn,Victoria,Ballarat
Scotts Creek (Vic.),Victoria,Warrnambool and South West
Sea Lake,Victoria,North West
Seabrook,Victoria,Melbourne - West
Seacombe,,
Seaford (Vic.),,
Seaholme,,
Seaspray,,
Seaton (Vic.),Victoria,Latrobe - Gippsland
Seaview,Victoria,Latrobe - Gippsland
Sebastian,Victoria,Bendigo
Sebastopol (Vic.),Victoria,Ballarat
Seddon (Vic.),Victoria,Melbourne - West
Sedgwick,Victoria,Bendigo
Selby,Victoria,Melbourne - Outer East
Selwyn (Vic.),Victoria,Hume
Separation Creek,,
Serpentine (Vic.),Victoria,Bendigo
Serviceton,,
Seville,Victoria,Melbourne - Outer East
Seville East,Victoria,Melbourne - Outer East
Seymour (Vic.),Victoria,Hume
Shady Creek,Victoria,Latrobe - Gippsland
Shays Flat,,
She Oaks,Victoria,Geelong
Sheans Creek,Victoria,Hume
Sheep Hills,Victoria,North West
Shelbourne,Victoria,Bendigo
Shelford,Victoria,Geelong
Shelley (Vic.),Victoria,Hume
Shepherds Flat,Victoria,Ballarat
Shepparton,Victoria,Shepparton
Shepparton East,Victoria,Shepparton
Shepparton North,Victoria,Shepparton
Sherbrooke,Victoria,Melbourne - Outer East
Shoreham,,
Sidonia,Victoria,Bendigo
Silvan,Victoria,Melbourne - Outer East
Silverleaves,,
Simpson (Vic.),Victoria,Warrnambool and South West
Simpsons Creek,,
Simson,Victoria,Ballarat
Skenes Creek,,
Skenes Creek North,Victoria,Warrnambool and South West
Skibo,Victoria,Warrnambool and South West
Skinners Flat,Victoria,Bendigo
Skipton,,
Skye (Vic.),,
Slaty Creek,,
Smeaton,Victoria,Ballarat
Smiths Beach,,
Smiths Gully,Victoria,Melbourne - North East
Smokeytown,Victoria,Ballarat
Smoko,Victoria,Hume
Smythes Creek,Victoria,Ballarat
Smythesdale,Victoria,Ballarat
Snake Island,,
Snake Valley,Victoria,Ballarat
Soldiers Hill (Vic.),Victoria,Ballarat
Somers,,
Somerton (Vic.),,
Somerville (Vic.),,
Sorrento (Vic.),,
South Dudley,Victoria,Latrobe - Gippsland
South Geelong,Victoria,Geelong
South Kingsville,Victoria,Melbourne - West
South Melbourne,Victoria,Melbourne - Inner
South Morang,Victoria,Melbourne - North East
South Purrumbete,Victoria,Warrnambool and South West
South Wharf,Victoria,Melbourne - Inner
South Yarra,Victoria,Melbourne - Inner
Southbank,Victoria,Melbourne - Inner
Southern Cross (Vic.),Victoria,Warrnambool and South West
Spargo Creek,Victoria,Ballarat
Speed,Victoria,North West
Spotswood,,
Spring Gully (Vic.),Victoria,Bendigo
Spring Hill (Vic.),,
Springbank,Victoria,Ballarat
Springdallah,Victoria,Ballarat
Springfield (Buloke - Vic.),Victoria,North West
Springfield (Macedon Ranges - Vic.),,
Springhurst,Victoria,Hume
Springmount,Victoria,Ballarat
Springvale (Vic.),Victoria,Melbourne - South East
Springvale South,Victoria,Melbourne - South East
St Albans (Vic.),Victoria,Melbourne - West
St Albans Park,Victoria,Geelong
St Andrews (Vic.),Victoria,Melbourne - North East
St Andrews Beach,,
St Arnaud,Victoria,North West
St Arnaud East,Victoria,North West
St Arnaud North,Victoria,North West
St Clair (Vic.),Victoria,Latrobe - Gippsland
St Germains,Victoria,Shepparton
St Helena,Victoria,Melbourne - North East
St Helens (Vic.),Victoria,Warrnambool and South West
St Helens Plains,Victoria,North West
St James (Vic.),,
St Kilda (Vic.),,
St Kilda East,,
St Kilda West,,
St Leonards (Vic.),,
Staceys Bridge,Victoria,Latrobe - Gippsland
Staffordshire Reef,Victoria,Ballarat
Staghorn Flat,Victoria,Hume
Stanhope (Vic.),Victoria,Shepparton
Stanley (Vic.),Victoria,Hume
Staughton Vale,,
Stavely,,
Stawell,Victoria,North West
Steels Creek,,
Steiglitz (Vic.),Victoria,Geelong
Stewarton (Vic.),,
Stirling (Vic.),Victoria,Latrobe - Gippsland
Stockdale,Victoria,Latrobe - Gippsland
Stockyard Hill,Victoria,Ballarat
Stonehaven,Victoria,Geelong
Stoneleigh (Vic.),,
Stony Creek (Central Goldfields - Vic.),Victoria,Ballarat
Stony Creek (South Gippsland - Vic.),Victoria,Latrobe - Gippsland
Stonyford,Victoria,Warrnambool and South West
Stradbroke,Victoria,Latrobe - Gippsland
Strangways,,
Straten,Victoria,North West
Stratford (Vic.),Victoria,Latrobe - Gippsland
Strath Creek,,
Strathallan,Victoria,Shepparton
Strathbogie,Victoria,Hume
Strathdale,Victoria,Bendigo
Strathdownie,,
Strathewen,Victoria,Melbourne - North East
Strathfieldsaye,Victoria,Bendigo
Strathkellar,Victoria,Warrnambool and South West
Strathlea,,
Strathmerton,,
Strathmore (Vic.),,
Strathmore Heights,Victoria,Melbourne - North West
Strathtulloh,Victoria,Melbourne - West
Streatham,,
Strzelecki (Vic.),Victoria,Latrobe - Gippsland
Stuart Mill,Victoria,North West
Sugarloaf (Vic.),,
Sugarloaf Creek,Victoria,Hume
Suggan Buggan,,
Sulky,Victoria,Ballarat
Summerlands,,
Sunbury,Victoria,Melbourne - North West
Sunday Creek,,
Sunderland Bay,,
Sunset Strip (Vic.),Victoria,Latrobe - Gippsland
Sunshine (Vic.),Victoria,Melbourne - West
Sunshine North,,
Sunshine West,Victoria,Melbourne - West
Surf Beach (Vic.),,
Surrey Hills,Victoria,Melbourne - Inner East
Sutherland (Vic.),Victoria,North West
Sutherlands Creek,Victoria,Geelong
Sutton (Vic.),Victoria,North West
Sutton Grange,Victoria,Bendigo
Swan Bay (Vic.),,
Swan Hill,,
Swan Hill West,Victoria,North West
Swan Island,,
Swan Marsh,Victoria,Warrnambool and South West
Swan Reach (Vic.),Victoria,Latrobe - Gippsland
Swanpool,Victoria,Hume
Swanwater,Victoria,North West
Swanwater West,Victoria,North West
Swifts Creek,Victoria,Latrobe - Gippsland
Sydenham (Vic.),Victoria,Melbourne - West
Sylvaterre,Victoria,Bendigo
Tabberabbera,Victoria,Latrobe - Gippsland
Tabilk,Victoria,Hume
Tabor,Victoria,Warrnambool and South West
Taggerty,Victoria,Hume
Tahara,Victoria,Warrnambool and South West
Tahara Bridge,Victoria,Warrnambool and South West
Tahara West,Victoria,Warrnambool and South West
Talbot (Vic.),Victoria,Ballarat
Talgarno,,
Tallandoon,Victoria,Hume
Tallangatta,Victoria,Hume
Tallangatta East,Victoria,Hume
Tallangatta South,Victoria,Hume
Tallangatta Valley,Victoria,Hume
Tallarook,Victoria,Hume
Tallygaroopna,Victoria,Shepparton
Tambo Crossing,Victoria,Latrobe - Gippsland
Tambo Upper,Victoria,Latrobe - Gippsland
Tamboon,,
Tamboritha,Victoria,Latrobe - Gippsland
Taminick,Victoria,Hume
Tamleugh,,
Tamleugh North,,
Tandarook,Victoria,Warrnambool and South West
Tandarra,Victoria,Bendigo
Tangambalanga,Victoria,Hume
Tanjil,Victoria,Latrobe - Gippsland
Tanjil Bren,Victoria,Latrobe - Gippsland
Tanjil South,Victoria,Latrobe - Gippsland
Tanwood,Victoria,Ballarat
Tanybryn,Victoria,Warrnambool and South West
Taradale (Vic.),,
Tarcombe,Victoria,Hume
Tarilta,,
Tarnagulla,,
Tarneit,Victoria,Melbourne - West
Tarnook,Victoria,Hume
Taroon,Victoria,Warrnambool and South West
Tarra Valley,Victoria,Latrobe - Gippsland
Tarranyurk,Victoria,North West
Tarraville,,
Tarrawarra,Victoria,Melbourne - Outer East
Tarrawingee,Victoria,Hume
Tarrayoukyan,,
Tarrengower,Victoria,Bendigo
Tarrenlea,Victoria,Warrnambool and South West
Tarrington,Victoria,Warrnambool and South West
Tarrone,Victoria,Warrnambool and South West
Tarwin,Victoria,Latrobe - Gippsland
Tarwin Lower,,
Tatong,Victoria,Hume
Tatura,Victoria,Shepparton
Tatura East,Victoria,Shepparton
Tatyoon,Victoria,North West
Tawonga,,
Tawonga South,Victoria,Hume
Taylor Bay,Victoria,Hume
Taylors Hill,Victoria,Melbourne - West
Taylors Lakes,,
Teal Point,Victoria,North West
Tecoma,Victoria,Melbourne - Outer East
Teddywaddy,Victoria,North West
Teddywaddy West,Victoria,North West
Teesdale (Vic.),Victoria,Geelong
Telangatuk East,,
Telford,Victoria,Shepparton
Telopea Downs,,
Templestowe,,
Templestowe Lower,,
Tempy,Victoria,North West
Tenby Point,Victoria,Latrobe - Gippsland
Tennyson (Vic.),,
Terang,Victoria,Warrnambool and South West
Terip Terip,Victoria,Hume
Terrappee,,
Terrick Terrick,,
Terrick Terrick East,,
Tesbury,Victoria,Warrnambool and South West
Tetoora Road,Victoria,Latrobe - Gippsland
Thalia,Victoria,North West
The Basin (Vic.),Victoria,Melbourne - Outer East
The Cove,,
The Gurdies,,
The Heart,Victoria,Latrobe - Gippsland
The Honeysuckles,,
The Patch,Victoria,Melbourne - Outer East
The Sisters,Victoria,Warrnambool and South West
Thologolong,,
Thomastown,,
Thomson (Baw Baw - Vic.),Victoria,Latrobe - Gippsland
Thomson (Greater Geelong - Vic.),Victoria,Geelong
Thoona,Victoria,Hume
Thornbury,,
Thornhill Park,Victoria,Melbourne - West
Thornton (Vic.),Victoria,Hume
Thorpdale,Victoria,Latrobe - Gippsland
Thorpdale South,Victoria,Latrobe - Gippsland
Thowgla Valley,Victoria,Hume
Three Bridges,,
Timbarra (Vic.),Victoria,Latrobe - Gippsland
Timboon,Victoria,Warrnambool and South West
Timboon West,Victoria,Warrnambool and South West
Timmering,Victoria,Shepparton
Timor (Vic.),Victoria,Ballarat
Timor West,Victoria,Ballarat
Tinamba,Victoria,Latrobe - Gippsland
Tinamba West,Victoria,Latrobe - Gippsland
Tintaldra,,
Tittybong,Victoria,North West
Tol Tol,,
Tolmie,Victoria,Hume
Tom Groggin,,
Tongala,Victoria,Shepparton
Tonghi Creek,Victoria,Latrobe - Gippsland
Tongio,Victoria,Latrobe - Gippsland
Tonimbuk,,
Tooan,Victoria,North West
Tooborac,,
Toolamba,Victoria,Shepparton
Toolamba West,Victoria,Shepparton
Toolangi,,
Toolern Vale,,
Toolleen,,
Toolome,Victoria,Latrobe - Gippsland
Toolondo,Victoria,North West
Toolong,Victoria,Warrnambool and South West
Toombon,,
Toongabbie (Vic.),Victoria,Latrobe - Gippsland
Toora (Vic.),,
Toora North,Victoria,Latrobe - Gippsland
Tooradin,,
Toorak,,
Toorloo Arm,,
Toorongo,,
Tootgarook,,
Torquay (Vic.),,
Torrita,Victoria,North West
Torrumbarry,,
Torwood,Victoria,Latrobe - Gippsland
Tostaree,,
Tottenham (Vic.),Victoria,Melbourne - West
Tottington,Victoria,North West
Tourello,Victoria,Ballarat
Towan,Victoria,North West
Towaninny,Victoria,North West
Towaninny South,Victoria,North West
Tower Hill,,
Towong,,
Towong Upper,,
Trafalgar (Vic.),Victoria,Latrobe - Gippsland
Trafalgar East,Victoria,Latrobe - Gippsland
Trafalgar South,Victoria,Latrobe - Gippsland
Tragowel,Victoria,North West
Traralgon,Victoria,Latrobe - Gippsland
Traralgon East,Victoria,Latrobe - Gippsland
Traralgon South,Victoria,Latrobe - Gippsland
Travancore,Victoria,Melbourne - Inner
Trawalla,Victoria,Ballarat
Trawool,Victoria,Hume
Traynors Lagoon,Victoria,North West
Tremont,Victoria,Melbourne - Outer East
Trentham,Victoria,Ballarat
Trentham East,,
Tresco,Victoria,North West
Tresco West,Victoria,North West
Trida,Victoria,Latrobe - Gippsland
Truganina,Victoria,Melbourne - West
Tubbut,Victoria,Latrobe - Gippsland
Tuerong,Victoria,Mornington Peninsula
Tulkara,Victoria,North West
Tullamarine,Victoria,Melbourne - North West
Tungamah,Victoria,Shepparton
Turoar,Victoria,North West
Turriff,Victoria,North West
Turriff East,Victoria,North West
Turtons Creek,Victoria,Latrobe - Gippsland
Tutye,Victoria,North West
Tyaak,Victoria,Hume
Tyabb,,
Tyenna (Vic.),Victoria,North West
Tyers,Victoria,Latrobe - Gippsland
Tylden,,
Tynong,Victoria,Melbourne - South East
Tynong North,Victoria,Melbourne - South East
Tyntynder,,
Tyntynder South,Victoria,North West
Tyrendarra,,
Tyrendarra East,,
Tyrrell,Victoria,North West
Tyrrell Downs,Victoria,North West
Ullina,Victoria,Ballarat
Ullswater,Victoria,North West
Ultima,Victoria,North West
Ultima East,Victoria,North West
Ulupna,,
Undera,Victoria,Shepparton
Underbool,Victoria,North West
Upotipotpon,,
Upper Ferntree Gully,Victoria,Melbourne - Outer East
Upper Gundowring,Victoria,Hume
Upper Lurg,Victoria,Hume
Upper Plenty,Victoria,Melbourne - North East
Upper Ryans Creek,Victoria,Hume
Upton Hill,Victoria,Hume
Upwey,Victoria,Melbourne - Outer East
Valencia Creek,Victoria,Latrobe - Gippsland
Vasey,Victoria,Warrnambool and South West
Vaughan,Victoria,Bendigo
Vectis,Victoria,North West
Ventnor (Vic.),,
Venus Bay (Vic.),,
Vermont,Victoria,Melbourne - Outer East
Vermont South,,
Vervale,Victoria,Melbourne - South East
Vesper,Victoria,Latrobe - Gippsland
Victoria Point (Vic.),Victoria,Warrnambool and South West
Victoria Valley (Vic.),,
Viewbank,,
Vinifera,,
Violet Town,,
Vite Vite,,
Vite Vite North,,
W Tree,Victoria,Latrobe - Gippsland
Waaia,Victoria,Shepparton
Waanyarra,,
Waarre,Victoria,Warrnambool and South West
Wabonga,,
Waggarandall,Victoria,Shepparton
Wahgunyah,,
Wahring,,
Wail,Victoria,North West
Wairewa,Victoria,Latrobe - Gippsland
