suburb,state,assigned_region
Binna Burra (NSW),New South Wales,Richmond - Tweed
Binnaway,New South Wales,Far West and Orana
Binya,,
Birchgrove,,
Birdwood (NSW),New South Wales,Mid North Coast
Birganbigil,New South Wales,Murray
Birmingham Gardens,New South Wales,Newcastle and Lake Macquarie
Birriwa,New South Wales,Central West
Birrong,,
Bishops Bridge,New South Wales,Hunter Valley exc Newcastle
Bithramere,New South Wales,New England and North West
Black Creek (Port Macquarie-Hastings - NSW),New South Wales,Mid North Coast
Black Creek (Snowy Valleys - NSW),New South Wales,Riverina
Black Head,,
Black Hill (NSW),,
Black Hollow,New South Wales,Far West and Orana
Black Mountain (NSW),New South Wales,New England and North West
Black Range (NSW),New South Wales,Capital Region
Black Springs (NSW),New South Wales,Central West
Blackalls Park,,
Blackbutt (NSW),New South Wales,Illawarra
Blackett,New South Wales,Sydney - Blacktown
Blackheath,,
Blackmans Flat,New South Wales,Central West
Blackmans Point,New South Wales,Mid North Coast
Blacksmiths,,
Blacktown,New South Wales,Sydney - Blacktown
Blackville,New South Wales,New England and North West
Blackwall (NSW),,
Blair Athol (NSW),New South Wales,Sydney - Outer South West
Blairmount,New South Wales,Sydney - Outer South West
Blakebrook,New South Wales,Richmond - Tweed
Blakehurst,,
Blakney Creek,New South Wales,Capital Region
Bland,,
Blandford,,
Blaxland (NSW),New South Wales,Sydney - Outer West and Blue Mountains
Blaxlands Creek,New South Wales,Coffs Harbour - Grafton
Blaxlands Ridge,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Blayney,New South Wales,Central West
Bligh Park,New South Wales,Sydney - Outer West and Blue Mountains
Blighty,New South Wales,Murray
Blowering,New South Wales,Riverina
Blue Bay,,
Blue Haven,New South Wales,Central Coast
Blue Knob,New South Wales,Richmond - Tweed
Blue Mountains National Park,,
Blue Nobby,New South Wales,New England and North West
Blue Vale,New South Wales,New England and North West
Blueys Beach,,
Boambee,New South Wales,Coffs Harbour - Grafton
Boambee East,New South Wales,Coffs Harbour - Grafton
Boambolo,New South Wales,Capital Region
Boat Harbour (Lismore - NSW),New South Wales,Richmond - Tweed
Boat Harbour (Port Stephens - NSW),,
Bobadah,,
Bobin,New South Wales,Mid North Coast
Bobs Creek,New South Wales,Mid North Coast
Bobs Farm,,
Bobundara,New South Wales,Capital Region
Boco,New South Wales,Capital Region
Bocoble,New South Wales,Central West
Bocobra,New South Wales,Central West
Bodalla,,
Bodangora,New South Wales,Far West and Orana
Boeill Creek,,
Bogan,,
Bogan Gate,New South Wales,Central West
Bogangar,New South Wales,Richmond - Tweed
Bogee,New South Wales,Central West
Boggabilla,,
Boggabri,New South Wales,New England and North West
Bogong Peaks Wilderness,New South Wales,Riverina
Bohena Creek,New South Wales,New England and North West
Bohnock,New South Wales,Mid North Coast
Bolaro,New South Wales,Capital Region
Bolivia,New South Wales,New England and North West
Bolong,New South Wales,Southern Highlands and Shoalhaven
Bolton Point,,
Bolwarra (NSW),New South Wales,Hunter Valley exc Newcastle
Bolwarra Heights,New South Wales,Hunter Valley exc Newcastle
Bom Bom,New South Wales,Coffs Harbour - Grafton
Bomaderry,New South Wales,Southern Highlands and Shoalhaven
Bombah Point,New South Wales,Mid North Coast
Bombala,New South Wales,Capital Region
Bombay,New South Wales,Capital Region
Bombira,New South Wales,Central West
Bombo,,
Bombowlee,New South Wales,Riverina
Bombowlee Creek,New South Wales,Riverina
Bomen,New South Wales,Riverina
Bonalbo,New South Wales,Richmond - Tweed
Bondi,,
Bondi Beach,,
Bondi Forest,,
Bondi Junction,New South Wales,Sydney - Eastern Suburbs
Bonnells Bay,,
Bonnet Bay,,
Bonny Hills,,
Bonnyrigg,New South Wales,Sydney - South West
Bonnyrigg Heights,New South Wales,Sydney - South West
Bonshaw (NSW),,
Bonville,New South Wales,Coffs Harbour - Grafton
Booerie Creek,New South Wales,Richmond - Tweed
Book Book,New South Wales,Riverina
Booker Bay,,
Bookham,,
Bookookoorara,,
Bookram,New South Wales,Coffs Harbour - Grafton
Boolambayte,New South Wales,Mid North Coast
Boolaroo,New South Wales,Newcastle and Lake Macquarie
Boolcarroll,New South Wales,New England and North West
Booligal,,
