suburb,state,assigned_region,latitude,longitude
Bannister (NSW),New South Wales,Capital Region,,
Banoon,New South Wales,New England and North West,-30.5252,150.4067
Banoon,New South Wales,New England and North West,-27.5803,153.0596
Banora Point,,,-28.213,153.5363
Banyabba,,,-29.342,153.0165
Bar Beach,,,-32.9413,151.7654
Bar Point,,,-33.5122,151.1622
Bara,New South Wales,Central West,-32.5804,149.7936
Baradine,,,-30.9487,149.0692
Barangaroo,,,-33.8603,151.2016
Barcoongere,,,-29.5934,152.8727
Barden Ridge,New South Wales,Sydney - Sutherland,-34.0341,151.0119
Bardia,,,-33.9779,150.8631
Bardwell Park,New South Wales,Sydney - Inner South West,-33.9353,151.1257
Bardwell Valley,New South Wales,Sydney - Inner South West,-33.9334,151.1367
Barellan,,,-34.2849,146.5722
Bargo,,,-34.293,150.5781
Barham,,,-35.6265,144.129
Barigan,New South Wales,Central West,-32.4966,149.9986
Barkers Vale,New South Wales,Richmond - Tweed,-28.5366,153.1207
Barmedman,,,-34.1449,147.3873
Barneys Reef,New South Wales,Central West,-32.308,149.4774
Barnsley,New South Wales,Newcastle and Lake Macquarie,-32.9333,151.5833
Barooga,,,-35.906,145.6958
Barraba,New South Wales,New England and North West,-30.3855,150.609
Barrack Heights,New South Wales,Illawarra,-34.5646,150.8569
Barrack Point,,,-34.5626,150.8709
Barraganyatti,New South Wales,Mid North Coast,-30.8568,152.9346
Barragga Bay,,,-36.5003,150.0547
Barratta (NSW),New South Wales,Murray,,
Barren Grounds,,,-34.6583,150.3257
Barrengarry,New South Wales,Southern Highlands and Shoalhaven,-34.6833,150.5167
Barretts Creek,,,-29.3238,152.7658
Barringella,New South Wales,Southern Highlands and Shoalhaven,-34.8986,150.4957
Barrington (NSW),New South Wales,Mid North Coast,,
Barrington Tops,,,-31.9223,151.5346
Barry (Blayney - NSW),New South Wales,Central West,,
Barry (Tamworth Regional - NSW),,,,
Barwang,New South Wales,Capital Region,-34.2161,148.1176
Baryulgil,New South Wales,Coffs Harbour - Grafton,-29.2236,152.607
Basin View,New South Wales,Southern Highlands and Shoalhaven,-35.0883,150.5553
Bass Hill,,,-33.8986,150.9954
Bassendean (NSW),New South Wales,New England and North West,,
Batar Creek,New South Wales,Mid North Coast,-31.6712,152.6688
Bateau Bay,,,-33.3833,151.4667
Batehaven,,,-35.7376,150.1984
Batemans Bay,,,-35.7066,150.1754
Bathampton,New South Wales,Central West,-33.5122,149.4212
Bathurst,New South Wales,Central West,-33.4166,149.5806
Batlow,New South Wales,Riverina,-35.5199,148.1473
Baulkham Hills,,,-33.7588,150.9929
Baw Baw (NSW),New South Wales,Capital Region,,
Bawley Point,,,-35.5156,150.3942
Baxters Ridge,New South Wales,Mid North Coast,-31.7628,151.9085
Bayview (NSW),,,,
Beacon Hill,New South Wales,Sydney - Northern Beaches,-33.7528,151.2586
Beaconsfield (NSW),New South Wales,Sydney - City and Inner South,,
Bean Creek,New South Wales,Richmond - Tweed,-28.5761,152.5893
Bearbong,New South Wales,Far West and Orana,-31.6689,148.8185
Beaumont (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Beaumont Hills,,,-33.6999,150.9411
Beckom,,,-34.3152,146.9679
Bective,New South Wales,New England and North West,-31.0042,150.7269
Bectric,New South Wales,Riverina,-34.4948,147.2354
Bedgerabong,New South Wales,Central West,-33.4672,147.8806
Beechwood,New South Wales,Mid North Coast,-31.4365,152.6768
Beecroft,,,-33.7495,151.0648
Beecroft Peninsula,,,-35.0431,150.8071
Beelbangera,New South Wales,Riverina,-34.2553,146.0985
Beemunnel,New South Wales,Far West and Orana,-31.6624,147.8596
Bega,New South Wales,Capital Region,-36.6739,149.8418
Beggan Beggan,,,-34.6818,148.2679
Belanglo,New South Wales,Southern Highlands and Shoalhaven,-34.5138,150.2264
Belbora,New South Wales,Mid North Coast,-32.0333,152.1833
Belfield,,,-33.9035,151.0847
Belford,New South Wales,Hunter Valley exc Newcastle,-32.6667,151.2833
Belfrayden,New South Wales,Riverina,-35.1173,147.0546
Belgravia,,,-33.1152,149.0346
Belimbla Park,New South Wales,Sydney - Outer South West,-34.0841,150.5398
Bell (NSW),,,,
Bella Vista,,,-33.7413,150.9546
Bellambi,,,-34.3667,150.9167
Bellangry,New South Wales,Mid North Coast,-31.3284,152.6077
Bellata,New South Wales,New England and North West,-29.9191,149.7889
Bellawongarah,New South Wales,Southern Highlands and Shoalhaven,-34.7667,150.6333
Bellbird,New South Wales,Hunter Valley exc Newcastle,-32.8599,151.3187
Bellbird Heights,New South Wales,Hunter Valley exc Newcastle,-32.8504,151.329
Bellbrook,New South Wales,Mid North Coast,-30.8199,152.5102
Bellevue Hill,New South Wales,Sydney - Eastern Suburbs,-33.879,151.251
Bellimbopinni,New South Wales,Mid North Coast,-31.0059,152.8988
Bellingen,New South Wales,Coffs Harbour - Grafton,-30.4529,152.8991
Bellmount Forest,New South Wales,Capital Region,-34.9225,149.2427
Belltrees,New South Wales,Hunter Valley exc Newcastle,-31.9906,151.1232
Belmont (NSW),,,,
Belmont North,New South Wales,Newcastle and Lake Macquarie,-33.0208,151.6685
