suburb,state,assigned_region,latitude,longitude
Kingsgrove,New South Wales,Sydney - Inner South West,-33.9393,151.0993
Kingsland,New South Wales,New England and North West,-29.6666,151.9262
Kingstown,New South Wales,New England and North West,-30.504,151.1139
Kingsvale,New South Wales,Capital Region,-34.4333,148.3167
Kingswood (Bega Valley - NSW),New South Wales,Capital Region,,
Kingswood (Penrith - NSW),New South Wales,Sydney - Outer West and Blue Mountains,,
Kingswood (Tamworth Regional - NSW),New South Wales,New England and North West,,
Kinvara,New South Wales,Richmond - Tweed,-28.7863,153.5189
Kioloa,,,-35.5542,150.3789
Kiora,New South Wales,Capital Region,-35.9052,150.0151
Kippara,New South Wales,Mid North Coast,-31.2209,152.5225
Kippaxs,New South Wales,Mid North Coast,-31.6591,152.3108
Kippenduff,,,-29.1412,152.8671
Kirkconnell,New South Wales,Central West,-33.4298,149.8482
Kirkham,,,-34.0388,150.7111
Kirrawee,New South Wales,Sydney - Sutherland,-34.0383,151.069
Kirribilli,,,-33.8487,151.2162
Kitchener,New South Wales,Hunter Valley exc Newcastle,-32.8813,151.3671
Kiwarrak,New South Wales,Mid North Coast,-31.7724,152.5372
Klori,New South Wales,New England and North West,-30.8318,150.7679
Knights Hill,,,-34.6177,150.698
Knockrow,New South Wales,Richmond - Tweed,-28.7658,153.5371
Knorrit Flat,New South Wales,Mid North Coast,-31.8414,152.112
Knorrit Forest,New South Wales,Mid North Coast,-31.778,152.0862
Kogarah,New South Wales,Sydney - Inner South West,-33.9681,151.1356
Kogarah Bay,,,-33.9795,151.1212
Kooba,New South Wales,Riverina,-34.4246,146.1099
Kookabookra,New South Wales,New England and North West,-30.0333,152.0667
Koolewong,,,-33.465,151.3157
Koolkhan,New South Wales,Coffs Harbour - Grafton,-29.6158,152.9301
Koonawarra,,,-34.5021,150.8085
Koonorigan,New South Wales,Richmond - Tweed,-28.6833,153.2333
Koonyum Range,New South Wales,Richmond - Tweed,-28.5554,153.4223
Kooragang,,,-32.8873,151.7741
Koorainghat,New South Wales,Mid North Coast,-31.986,152.4799
Koorawatha,,,-34.0378,148.5561
Kooringal (NSW),New South Wales,Riverina,,
Kootingal,New South Wales,New England and North West,-31.0586,151.0535
Koraleigh,,,-35.1286,143.4404
Koreelah,,,-28.461,152.3615
Korora,,,-30.2462,153.1149
Kosciuszko,,,-36.2644,148.4818
Kotara,New South Wales,Newcastle and Lake Macquarie,-32.9428,151.6958
Kotara South,New South Wales,Newcastle and Lake Macquarie,-32.9526,151.6908
Krambach,New South Wales,Mid North Coast,-32.05,152.2667
Krawarree,New South Wales,Capital Region,-35.8152,149.6346
Kremnos,New South Wales,Coffs Harbour - Grafton,-29.5934,152.8727
Ku-ring-gai Chase,,,,
Kulnura,,,-33.205,151.1759
Kulwin (NSW),,,,
Kunama,New South Wales,Riverina,-35.5494,148.0982
Kundabung,New South Wales,Mid North Coast,-31.2094,152.8316
Kundibakh,New South Wales,Mid North Coast,-31.9833,152.25
Kundle Kundle,New South Wales,Mid North Coast,-31.8526,152.5293
Kungala,New South Wales,Coffs Harbour - Grafton,-29.9535,153.0086
Kunghur,New South Wales,Richmond - Tweed,-28.4703,153.2537
Kunghur Creek,New South Wales,Richmond - Tweed,-28.4903,153.2459
Kurmond,,,-33.5533,150.6947
Kurnell,,,-34.0109,151.2051
Kurraba Point,,,-33.8424,151.2226
Kurrajong,,,-33.5277,150.6291
Kurrajong Heights,,,-33.5277,150.6291
Kurrajong Hills,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.5331,150.6515
Kurri Kurri,New South Wales,Hunter Valley exc Newcastle,-32.8193,151.4791
Kyalite,,,-34.9532,143.4775
Kyarran,New South Wales,Coffs Harbour - Grafton,-29.5808,152.9743
Kybeyan,New South Wales,Capital Region,-36.3485,149.4179
Kyeamba,,,-35.4445,147.608
Kyeemagh,,,-33.9513,151.162
Kyle Bay,,,-33.9879,151.0994
Kynnumboon,New South Wales,Richmond - Tweed,-28.3091,153.3727
Kyogle,New South Wales,Richmond - Tweed,-28.6228,152.9974
La Perouse,,,-33.9872,151.2317
Lacmalac,New South Wales,Riverina,-35.3167,148.3167
Lade Vale,New South Wales,Capital Region,-34.7699,149.2856
Ladysmith,New South Wales,Riverina,-35.2095,147.5118
Laffing Waters,New South Wales,Central West,-33.3771,149.6222
Laggan,New South Wales,Capital Region,-34.4167,149.5333
Lagoon Grass,New South Wales,Richmond - Tweed,-28.7944,153.3178
Laguna,,,-32.9902,151.1346
Lake Albert (NSW),New South Wales,Riverina,,
Lake Bathurst,New South Wales,Capital Region,-35.0167,149.65
Lake Brewster,,,-33.2947,145.6129
Lake Burrendong,,,-32.7763,149.0256
Lake Cargelligo,,,-33.2988,146.373
Lake Cathie,,,-31.5518,152.8546
Lake Conjola,,,-35.2696,150.4819
Lake Cowal,New South Wales,Central West,-33.6877,147.3586
Lake George,New South Wales,Capital Region,-35.0998,149.394
Lake Haven,,,-33.243,151.5043
Lake Heights,,,-34.4843,150.8665
Lake Hiawatha,New South Wales,Coffs Harbour - Grafton,-29.7276,153.1609
Lake Hume Village,,,-36.2676,147.0798
Lake Illawarra,,,-34.5466,150.8564
Lake Innes,,,-31.5038,152.8165
Lake Macquarie,,,,
Lake Munmorah,,,-33.1972,151.5824
Lake Tabourie,,,-35.4392,150.3983
Lake Wyangan,New South Wales,Riverina,-34.232,146.0208
Lakelands (NSW),New South Wales,Newcastle and Lake Macquarie,,
Lakemba,New South Wales,Sydney - Inner South West,-33.9197,151.0759
Lakesland,,,-34.1652,150.5346
Lakewood,New South Wales,Mid North Coast,-31.6321,152.7582
Lakewood,New South Wales,Mid North Coast,-30.8,121.5333
Lalalty,New South Wales,Murray,-35.9391,145.6422
Lalor Park,New South Wales,Sydney - Blacktown,-33.7609,150.9312
Lambs Valley (Glen Innes Severn - NSW),New South Wales,New England and North West,,
Lambs Valley (Singleton - NSW),New South Wales,Hunter Valley exc Newcastle,,
Lambton,New South Wales,Newcastle and Lake Macquarie,-32.9167,151.7
Landervale,New South Wales,Riverina,-34.5458,146.6991
Lane Cove,New South Wales,Sydney - North Sydney and Hornsby,-33.8157,151.1668
Lane Cove North,,,-33.8054,151.1664
Lane Cove West,,,-33.8161,151.1515
Langley Vale,New South Wales,Mid North Coast,-31.78,152.5616
Lanitza,New South Wales,Coffs Harbour - Grafton,-29.8224,153.0483
Lankeys Creek,,,-35.8152,147.6512
Lansdowne (Canterbury-Bankstown - NSW),,,,
Lansdowne (Mid-Coast - NSW),New South Wales,Mid North Coast,,
Lansdowne Forest,New South Wales,Mid North Coast,-31.7469,152.5757
Lansvale,,,-33.9007,150.9508
Lapstone,New South Wales,Sydney - Outer West and Blue Mountains,-33.7742,150.6357
Larbert,New South Wales,Capital Region,-35.2985,149.7679
Largs,New South Wales,Hunter Valley exc Newcastle,-32.7,151.6
Larnook,New South Wales,Richmond - Tweed,-28.6516,153.1108
Larras Lee,,,-33.0,148.85
Laughtondale,,,-33.437,151.0313
Laurel Hill,New South Wales,Riverina,-35.6033,148.0915
Laurieton,New South Wales,Mid North Coast,-31.6448,152.7946
Lavadia,New South Wales,Coffs Harbour - Grafton,-29.7129,153.0718
Lavender Bay,,,-33.8437,151.2075
Laverstock,New South Wales,Capital Region,-34.7665,148.8247
Lavington,New South Wales,Murray,-36.0398,146.9396
Lawrence (NSW),New South Wales,Coffs Harbour - Grafton,,
Lawson (NSW),New South Wales,Sydney - Outer West and Blue Mountains,,
Leadville,,,-32.0,149.55
Leconfield,New South Wales,Hunter Valley exc Newcastle,-32.6534,151.3894
Lee Creek,New South Wales,Central West,-32.7114,150.0719
Leeton,New South Wales,Riverina,-34.551,146.4048
Leets Vale,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.4298,150.9484
Leeville,New South Wales,Richmond - Tweed,-28.9414,152.9948
Legume,,,-28.4107,152.3063
Leichhardt (NSW),,,,
Lemington,New South Wales,Hunter Valley exc Newcastle,-32.6377,151.093
Lemon Tree,,,-33.1492,151.3635
Lemon Tree Passage,,,-32.7305,152.0386
Len Waters Estate,New South Wales,Sydney - South West,-33.9147,150.8533
Lenaghan,,,-32.8417,151.6359
Lennox Head,,,-28.7913,153.592
Leonay,New South Wales,Sydney - Outer West and Blue Mountains,-33.7654,150.6481
Leppington,,,-33.9698,150.7967
Lerida,New South Wales,Capital Region,-32.1818,146.2218
Lerida,New South Wales,Capital Region,-34.8748,149.3648
Lethbridge Park,New South Wales,Sydney - Blacktown,-33.7372,150.8004
Leumeah,New South Wales,Sydney - Outer South West,-34.05,150.8333
Leura,New South Wales,Sydney - Outer West and Blue Mountains,-33.7167,150.3333
Levenstrath,New South Wales,Coffs Harbour - Grafton,-29.8227,152.9369
Lewinsbrook,New South Wales,Hunter Valley exc Newcastle,-32.4363,151.5622
Lewis Ponds,New South Wales,Central West,-33.2667,149.2667
Lewisham (NSW),,,,
Leycester,New South Wales,Richmond - Tweed,-28.7833,153.2
Liberty Grove,,,-33.8409,151.084
Lidcombe,,,-33.8644,151.0397
Liddell,New South Wales,Hunter Valley exc Newcastle,-32.4278,151.0032
Lidsdale,New South Wales,Central West,-33.3536,150.118
Lidster,New South Wales,Central West,-33.2862,148.9512
Lightning Ridge,,,-29.4274,147.9787
Lilli Pilli (Eurobodalla - NSW),,,,
Lilli Pilli (Sutherland Shire - NSW),,,,
Lillian Rock,New South Wales,Richmond - Tweed,-28.5349,153.1585
Lilydale (NSW),New South Wales,Coffs Harbour - Grafton,,
Lilyfield,,,-33.875,151.1653
Lilyvale (NSW),,,,
Limbri,New South Wales,New England and North West,-31.0388,151.1553
Limeburners Creek (Mid-Coast - NSW),,,,
Limeburners Creek (Port Macquarie-Hastings - NSW),,,,
Limekilns,New South Wales,Central West,-33.2731,149.743
Limerick,New South Wales,Capital Region,-34.2168,149.4755
Limestone (NSW),New South Wales,New England and North West,,
Limpinwood,,,-28.3076,153.2173
Linburn,New South Wales,Central West,-32.4235,149.7179
Linden (NSW),New South Wales,Sydney - Outer West and Blue Mountains,,
Lindendale,New South Wales,Richmond - Tweed,-28.8282,153.3757
Lindesay,New South Wales,New England and North West,-30.3352,150.2998
Lindesay Creek,,,-28.3477,152.6208
Lindfield,,,-33.7833,151.1667
Lindifferon,New South Wales,Murray,-35.4383,145.1752
Linley Point,,,-33.8266,151.1502
Lionsville,,,-29.1919,152.4907
Lisarow,New South Wales,Central Coast,-33.3833,151.3667
Lismore (NSW),New South Wales,Richmond - Tweed,,
Lismore Heights,New South Wales,Richmond - Tweed,-28.801,153.3005
Liston,New South Wales,New England and North West,-28.646,152.0861
Lithgow,New South Wales,Central West,-33.4845,150.149
Little Back Creek,New South Wales,Richmond - Tweed,-28.6031,153.0298
Little Bay,,,-33.979,151.243
Little Billabong,,,-35.5818,147.5346
Little Forest,New South Wales,Southern Highlands and Shoalhaven,-35.2908,150.3558
Little Hartley,,,-33.5881,150.1972
Little Jacks Creek,,,-31.7907,150.5436
Little Jilliby,New South Wales,Central Coast,-33.2407,151.3701
Little Pelican,,,-33.0823,151.6455
Little Plain,New South Wales,New England and North West,-29.6633,151.1994
Little River (NSW),New South Wales,Riverina,,
Little Topar,New South Wales,Far West and Orana,-31.7755,142.2318
Little Wobby,,,-33.5454,151.2564
Littleton,New South Wales,Central West,-33.5006,150.1373
Liverpool,New South Wales,Sydney - South West,-33.9194,150.9259
Llanarth (NSW),New South Wales,Central West,,
Llandilo,,,-33.7129,150.7465
Llangothlin,New South Wales,New England and North West,-30.1372,151.6843
Lloyd,New South Wales,Riverina,-35.1507,147.3371
Loadstone,New South Wales,Richmond - Tweed,-28.3907,152.9904
Lochiel (NSW),New South Wales,Capital Region,,
Lochinvar,New South Wales,Hunter Valley exc Newcastle,-32.6987,151.4552
Lockhart,New South Wales,Riverina,-35.2233,146.7182
Lockhart,New South Wales,Riverina,-17.2171,145.2114
Locksley (NSW),New South Wales,Central West,,
Loftus,New South Wales,Sydney - Sutherland,-34.0447,151.0465
Loftville,New South Wales,Richmond - Tweed,-28.8413,153.2536
Logans Crossing,New South Wales,Mid North Coast,-31.6072,152.7008
Logie Brae,New South Wales,Murray,-35.6216,145.4285
Londonderry (NSW),New South Wales,Sydney - Outer West and Blue Mountains,,
Long Beach,,,-35.7083,150.2448
Long Flat (NSW),New South Wales,Mid North Coast,,
Long Jetty,,,-33.3592,151.4883
Long Plain (Inverell - NSW),New South Wales,New England and North West,,
Long Plain (Snowy Monaro Regional - NSW),,,,
Long Point (Campbelltown - NSW),,,,
Long Point (Singleton - NSW),New South Wales,Hunter Valley exc Newcastle,,
Longarm,New South Wales,New England and North West,-30.4736,150.552
Longreach (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Longueville,,,-33.8329,151.1653
Loomberah,New South Wales,New England and North West,-31.2827,151.0188
Lord Howe Island,,,-32.3918,148.3941
Lords Hill,New South Wales,Capital Region,-36.9309,149.2131
Lorn,New South Wales,Hunter Valley exc Newcastle,-32.727,151.5724
Lorne (NSW),New South Wales,Mid North Coast,,
Lost River,New South Wales,Capital Region,-34.4295,149.3153
Lostock,New South Wales,Hunter Valley exc Newcastle,-32.3333,151.45
Louisa Creek,,,-29.0098,152.6048
Louisa Creek,,,-21.145,149.1313
Louth,New South Wales,Far West and Orana,-30.5388,145.116
Louth Park,New South Wales,Hunter Valley exc Newcastle,-32.7709,151.5483
Lovedale,New South Wales,Hunter Valley exc Newcastle,-32.7705,151.3648
Lovett Bay,,,-33.6408,151.2827
Lowanna,New South Wales,Coffs Harbour - Grafton,-30.2167,152.9
Lower Acacia Creek,,,-28.4318,152.2346
Lower Bago,New South Wales,Riverina,-34.8884,148.4489
Lower Belford,New South Wales,Hunter Valley exc Newcastle,-32.6313,151.2901
Lower Boro,New South Wales,Capital Region,-35.1667,149.7667
Lower Bottle Creek,New South Wales,Richmond - Tweed,-28.8228,152.6009
Lower Creek,,,-30.7342,152.2575
Lower Duck Creek,,,-28.976,152.7656
Lower Dyraaba,New South Wales,Richmond - Tweed,-28.8042,152.8891
Lower Lewis Ponds,New South Wales,Central West,-33.2192,149.2514
Lower Macdonald,,,-33.3653,150.9511
Lower Mangrove,,,-33.4,151.15
Lower Pappinbarra,New South Wales,Mid North Coast,-31.4198,152.5934
Lower Peacock,,,-28.976,152.7656
Lower Portland,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.45,150.8833
Lower Southgate,New South Wales,Coffs Harbour - Grafton,-29.5579,153.0736
Lowesdale,New South Wales,Murray,-35.8318,146.3512
Lowther,New South Wales,Central West,-33.6143,150.1439
Loxford,New South Wales,Hunter Valley exc Newcastle,-32.7902,151.481
Lucas Heights,,,-34.0479,150.9747
Lucknow (NSW),New South Wales,Central West,,
Luddenham,,,-33.8785,150.6886
Lue,New South Wales,Central West,-32.6667,149.85
Lugarno,,,-33.9827,151.0418
Lurnea,New South Wales,Sydney - South West,-33.9354,150.8967
Luskintyre,New South Wales,Hunter Valley exc Newcastle,-32.6834,151.427
Lynchs Creek,New South Wales,Richmond - Tweed,-28.4454,153.0016
Lyndhurst (Armidale Regional - NSW),New South Wales,New England and North West,,
Lyndhurst (Blayney - NSW),New South Wales,Central West,,
Lynwood (NSW),New South Wales,Richmond - Tweed,,
Mabins Well,,,-34.5833,145.8019
Macdonalds Creek,,,-31.7996,150.4475
Macksville,New South Wales,Mid North Coast,-30.7078,152.9203
Maclean,New South Wales,Coffs Harbour - Grafton,-29.4581,153.1975
Maclean,New South Wales,Coffs Harbour - Grafton,-27.7833,153.0167
Macmasters Beach,,,-33.4966,151.4221
Macquarie Fields,,,-33.9921,150.8931
Macquarie Hills,New South Wales,Newcastle and Lake Macquarie,-32.9511,151.6446
Macquarie Links,New South Wales,Sydney - Outer South West,-33.9845,150.8703
Macquarie Marshes,New South Wales,Far West and Orana,-31.5929,148.1368
Macquarie Park,,,-33.7796,151.1222
Macquarie Pass,,,-34.6583,150.3257
Maddens Plains,New South Wales,Illawarra,-34.2064,150.9806
Maffra (NSW),New South Wales,Capital Region,,
Magenta (NSW),,,,
Magometon,New South Wales,Far West and Orana,-31.0251,148.6161
Maianbar,,,-34.0837,151.1241
Maimuru,New South Wales,Capital Region,-34.2333,148.1772
Main Arm,New South Wales,Richmond - Tweed,-28.5554,153.4223
Main Creek,,,-32.297,151.8026
Mairjimmy,New South Wales,Murray,-35.4932,145.7475
Maison Dieu,New South Wales,Hunter Valley exc Newcastle,-32.5378,151.0902
Maitland (NSW),New South Wales,Hunter Valley exc Newcastle,,
Maitland Bar,New South Wales,Central West,-32.7491,149.4266
Maitland Vale,New South Wales,Hunter Valley exc Newcastle,-32.6769,151.5557
Majors Creek (NSW),New South Wales,Capital Region,,
Malabar,,,-33.9622,151.248
Malabugilmah,New South Wales,Coffs Harbour - Grafton,-29.5934,152.8727
Maldon (NSW),New South Wales,Sydney - Outer South West,,
Mallabula,,,-32.7282,152.0126
Mallan,New South Wales,Murray,-35.1252,143.6917
Mallanganee,New South Wales,Richmond - Tweed,-28.9047,152.7231
Mallee,,,-34.222,142.6631
Mallowa,New South Wales,New England and North West,-29.6625,149.3256
Maloneys Beach,,,-35.7073,150.251
Malua Bay,,,-35.7938,150.2283
Manar,New South Wales,Capital Region,-35.2693,149.6782
Manar,New South Wales,Capital Region,-26.0309,151.3906
Manchester Square,New South Wales,Southern Highlands and Shoalhaven,-34.5994,150.4017
Mandagery,New South Wales,Central West,-33.2167,148.4167
Mandalong,,,-33.1333,151.4333
Mandemar,New South Wales,Southern Highlands and Shoalhaven,-34.4332,150.3026
Mandurama,New South Wales,Central West,-33.6508,148.9733
Mangerton,New South Wales,Illawarra,-34.4367,150.8717
Mangoola,New South Wales,Hunter Valley exc Newcastle,-32.4269,150.5689
Mangoplah,,,-35.3833,147.25
Mangrove Creek,New South Wales,Central Coast,-33.35,151.15
Mangrove Mountain,New South Wales,Central Coast,-33.3,151.2
Manildra,New South Wales,Central West,-33.1825,148.6891
Manilla,New South Wales,New England and North West,-30.7475,150.7197
Manly (NSW),,,,
Manly Vale,New South Wales,Sydney - Northern Beaches,-33.7846,151.262
Mannering Park,,,-33.1581,151.5348
Manning Point,,,-31.8942,152.6577
Mannus,New South Wales,Riverina,-35.799,147.9372
Manobalai,New South Wales,Hunter Valley exc Newcastle,-32.1896,150.676
Manton (NSW),New South Wales,Capital Region,,
Manyana,,,-35.2574,150.5191
Maragle,New South Wales,Riverina,-35.9262,148.11
Maraylya,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.5922,150.9198
Marayong,New South Wales,Sydney - Blacktown,-33.7482,150.8927
March,New South Wales,Central West,-33.2197,149.0749
Marchmont,New South Wales,Capital Region,-34.8826,148.952
Mardi,New South Wales,Central Coast,-33.2937,151.4015
Marengo (NSW),,,,
Mares Run,,,-31.7628,151.9085
Marinna,New South Wales,Riverina,-34.8547,147.2252
Marks Point,,,-33.0564,151.6496
Markwell,New South Wales,Mid North Coast,-32.3333,152.1833
Marlee,New South Wales,Mid North Coast,-31.8014,152.3157
Marlo Merrican,New South Wales,Mid North Coast,-31.2289,152.6706
Marlow,,,-33.4639,151.166
Marlowe,New South Wales,Capital Region,-35.3,149.8833
Marmong Point,,,-32.9806,151.6184
Marom Creek,New South Wales,Richmond - Tweed,-28.9015,153.3725
Maroota,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.4618,150.9824
Maroubra,,,-33.95,151.2333
Marrangaroo,New South Wales,Central West,-33.4333,150.1167
Marrar,New South Wales,Riverina,-34.8333,147.3667
Marrickville,,,-33.9074,151.1555
Marsden Park,New South Wales,Sydney - Blacktown,-33.692,150.8373
Marsfield,,,-33.7778,151.1057
Marshall Mount,New South Wales,Illawarra,-34.55,150.75
Marshdale,New South Wales,Hunter Valley exc Newcastle,-32.4362,151.7928
Marthaguy,New South Wales,Far West and Orana,-31.2173,147.8576
Martindale,,,-32.5096,150.6841
Martins Creek,New South Wales,Hunter Valley exc Newcastle,-32.55,151.6167
Martins Creek,New South Wales,Hunter Valley exc Newcastle,-37.4284,148.4846
Martinsville,,,-33.0667,151.4167
Marulan,,,-34.7084,150.0097
Maryland (Newcastle - NSW),New South Wales,Newcastle and Lake Macquarie,,
Maryland (Tenterfield - NSW),,,,
Marys Mount,New South Wales,New England and North West,-30.9361,150.0459
Maryvale (NSW),New South Wales,Far West and Orana,,
Maryville,,,-32.9112,151.7554
Mascot,,,-33.926,151.1935
Matcham,New South Wales,Central Coast,-33.4167,151.4167
Matheson,New South Wales,New England and North West,-29.7383,151.574
Mathoura,,,-35.8152,144.9012
Matong,New South Wales,Riverina,-34.7671,146.9239
Matraville,,,-33.9634,151.2319
Maude (NSW),New South Wales,Murray,,
Maules Creek,New South Wales,New England and North West,-30.5437,150.2045
Maxwell,New South Wales,Riverina,-35.3081,147.293
Maybole,New South Wales,New England and North West,-29.8985,151.5846
Mayers Flat,New South Wales,Mid North Coast,-32.388,152.3318
Mayfield (Newcastle - NSW),New South Wales,Newcastle and Lake Macquarie,,
Mayfield (Oberon - NSW),New South Wales,Central West,,
Mayfield (Queanbeyan-Palerang Regional - NSW),New South Wales,Capital Region,,
Mayfield (Shoalhaven - NSW),New South Wales,Southern Highlands and Shoalhaven,,
Mayfield East,New South Wales,Newcastle and Lake Macquarie,-32.9003,151.7497
Mayfield North,,,-32.8928,151.7482
Mayfield West,,,-32.892,151.7271
Mayrung,New South Wales,Murray,-35.4751,144.9049
Mays Hill,New South Wales,Sydney - Parramatta,-33.8203,150.9943
Mayvale,New South Wales,New England and North West,-30.2195,150.7882
McCullys Gap,New South Wales,Hunter Valley exc Newcastle,-32.2053,150.9736
McDougalls Hill,New South Wales,Hunter Valley exc Newcastle,-32.5482,151.1434
McGraths Hill,,,-33.6155,150.8337
McKees Hill,New South Wales,Richmond - Tweed,-28.8833,153.2
McKellars Park,New South Wales,Central West,-33.47,150.1527
McLeans Ridges,New South Wales,Richmond - Tweed,-28.8,153.3833
McLeods Shoot,New South Wales,Richmond - Tweed,-28.6522,153.5585
McMahons Point,,,-33.8449,151.2031
McMahons Reef,New South Wales,Capital Region,-34.6667,148.45
Meadow Flat,New South Wales,Central West,-33.4333,149.9333
Meadowbank (NSW),,,,
Mebbin,New South Wales,Richmond - Tweed,-28.4626,153.21
Mebul,New South Wales,Central West,-32.3485,149.3346
Medlow Bath,New South Wales,Sydney - Outer West and Blue Mountains,-33.6746,150.2788
Medowie,New South Wales,Hunter Valley exc Newcastle,-32.7415,151.8676
Medway,New South Wales,Southern Highlands and Shoalhaven,-34.4916,150.2823
Meerschaum Vale,New South Wales,Richmond - Tweed,-28.9121,153.4383
Megalong Valley,,,-33.715,150.2339
Megan,New South Wales,Coffs Harbour - Grafton,-30.2857,152.7691
Melbergen,New South Wales,Riverina,-33.7033,146.044
Melinga,New South Wales,Mid North Coast,-31.8148,152.5179
Mellong,,,-33.146,150.6847
Mellool,,,-35.4197,143.7924
Melonba,,,-33.6503,150.8647
Melrose Park (NSW),,,,
Melville (NSW),New South Wales,Hunter Valley exc Newcastle,,
Memagong,New South Wales,Capital Region,-34.3156,148.1126
Menah,New South Wales,Central West,-32.5494,149.5432
Menai,,,-34.0167,151.0167
Menangle,New South Wales,Sydney - Outer South West,-34.1268,150.7387
Menangle Park,New South Wales,Sydney - Outer South West,-34.1044,150.7507
Mendooran,,,-31.8229,149.1222
Menindee,,,-32.3929,142.4182
Merah North,New South Wales,New England and North West,-30.1831,149.2951
Merewether,,,-32.948,151.7433
Merewether Heights,New South Wales,Newcastle and Lake Macquarie,-32.9473,151.7356
Merimbula,,,-36.889,149.9096
Meringo,,,-35.9803,150.1346
Mernot,,,-31.7628,151.9085
Meroo,New South Wales,Central West,-32.7661,149.5938
Meroo Meadow,New South Wales,Southern Highlands and Shoalhaven,-34.8153,150.6084
Merotherie,New South Wales,Central West,-32.1571,149.5692
Merriangaah,New South Wales,Capital Region,-36.8941,149.2132
Merricumbene,New South Wales,Capital Region,-35.7335,149.896
Merrigal,New South Wales,Far West and Orana,-31.6608,148.6622
Merrill,New South Wales,Capital Region,-34.6711,149.2782
Merriwa (NSW),,,,
Merriwagga,New South Wales,Riverina,-33.8161,145.6242
Merrygoen,,,-31.8279,149.2326
Merrylands,New South Wales,Sydney - Parramatta,-33.8333,150.9833
Merrylands West,New South Wales,Sydney - Parramatta,-33.8327,150.9691
Merungle Hill,New South Wales,Riverina,-34.615,146.4652
Meryla,,,-34.6704,150.3613
Metford,New South Wales,Hunter Valley exc Newcastle,-32.765,151.6094
Methul,New South Wales,Riverina,-34.5985,147.1512
Metz,New South Wales,New England and North West,-30.5785,151.8735
Miamley,,,-32.2748,147.3438
Miandetta (NSW),New South Wales,Far West and Orana,,
Micalo Island,New South Wales,Coffs Harbour - Grafton,-29.4662,153.3456
Michelago,New South Wales,Capital Region,-35.7167,149.1667
Middle Arm,New South Wales,Capital Region,-34.618,149.7248
Middle Brook,New South Wales,Hunter Valley exc Newcastle,-31.974,150.8148
Middle Brother,New South Wales,Mid North Coast,-31.6998,152.7178
Middle Cove,,,-33.7928,151.2125
Middle Dural,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.6401,151.0172
Middle Falbrook,New South Wales,Hunter Valley exc Newcastle,-32.4481,151.1469
Middle Flat,New South Wales,Capital Region,-36.2539,149.1781
Middle Pocket,New South Wales,Richmond - Tweed,-28.4869,153.4661
Middleton Grange,New South Wales,Sydney - South West,-33.917,150.8419
Middlingbank,New South Wales,Capital Region,-36.2115,148.794
Midginbil,New South Wales,Richmond - Tweed,-28.4971,153.2596
Mihi,New South Wales,New England and North West,-30.7083,151.7091
Mila,New South Wales,Capital Region,-37.0485,149.1679
Milbrodale,New South Wales,Hunter Valley exc Newcastle,-32.6955,151.0096
Milbrulong,New South Wales,Riverina,-35.2532,146.8428
Milkers Flat,New South Wales,Central West,-33.4403,149.6443
Millah Murrah,New South Wales,Central West,-33.4403,149.6443
Millbank (NSW),New South Wales,Mid North Coast,,
Miller,New South Wales,Sydney - South West,-33.9209,150.8847
Millers Forest,,,-32.75,151.7
Millers Point,,,-33.8596,151.2041
Millfield,New South Wales,Hunter Valley exc Newcastle,-32.8886,151.2613
Millie,New South Wales,New England and North West,-29.8152,149.5679
Millingandi,New South Wales,Capital Region,-36.8862,149.8564
Millthorpe,New South Wales,Central West,-33.446,149.1854
Milparinka,,,-29.7345,141.8849
Milperra,,,-33.9393,150.9815
Milroy (Gunnedah - NSW),New South Wales,New England and North West,,
Milroy (Mid-Western Regional - NSW),New South Wales,Central West,,
Milsons Passage,,,-33.5169,151.1774
Milsons Point,,,-33.846,151.2119
Milton (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Milvale,,,-34.3167,147.9167
Mimosa (NSW),New South Wales,Riverina,,
Minchinbury,,,-33.7872,150.8296
Mindaribba,New South Wales,Hunter Valley exc Newcastle,-32.6572,151.5867
Mingoola (NSW),,,,
Minimbah,New South Wales,Mid North Coast,-32.1577,152.3748
Minjary,New South Wales,Riverina,-35.1999,148.1346
Minmi,,,-32.8783,151.6173
Minnamurra,,,-34.6226,150.8503
Minnie Water,,,-29.7759,153.2973
Minore,New South Wales,Far West and Orana,-32.25,148.4667
Minto,New South Wales,Sydney - Outer South West,-34.0333,150.85
Minto,New South Wales,Sydney - Outer South West,-36.764,144.2628
Minto Heights,,,-34.0345,150.8744
Mirador,,,-36.8777,149.9157
Miranda (NSW),,,,
Mirannie,New South Wales,Hunter Valley exc Newcastle,-32.4354,151.3687
Mirrabooka (NSW),,,,
Mirrool,,,-34.2378,147.0645
Missabotti,,,-30.5747,152.8158
Mitchell (NSW),New South Wales,Central West,,
Mitchells Flat,New South Wales,Hunter Valley exc Newcastle,-32.5485,151.2846
Mitchells Island,,,-31.9,152.6167
Mittagong,,,-34.45,150.4457
