suburb,state,latitude,longitude,assigned_region
Red Range,NSW,-29.7757,151.8966,New England and North West
Newton Boyd,NSW,-29.7976,152.2659,
Glen Innes,NSW,-29.7349,151.7385,New England and North West
Kookabookra,NSW,-30.0333,152.0667,New England and North West
Moggs Swamp,NSW,-29.9475,152.0668,
Pinkett,NSW,-29.6666,151.9262,New England and North West
Gibraltar Range,NSW,-29.6666,151.9262,
Stonehenge,NSW,-29.8164,151.7351,Regional NSW
Yarrowford,NSW,-29.65,151.7833,New England and North West
Furracabad,NSW,-29.7818,151.6679,New England and North West
Dundee,NSW,-29.5724,151.8663,New England and North West
Spring Mountain,NSW,-28.5973,153.4457,Regional NSW
Morven,NSW,-29.6666,151.9262,Regional NSW
Reddestone,NSW,-29.5565,151.673,New England and North West
Lambs Valley,NSW,-29.6666,151.9262,Regional NSW
Moogem,NSW,-29.6666,151.9262,New England and North West
Diehard,NSW,-29.6666,151.9262,New England and North West
Wellingrove,NSW,-29.6334,151.5692,New England and North West
Kingsgate,NSW,-29.8006,152.0893,
Kingsland,NSW,-29.6666,151.9262,New England and North West
Rangers Valley,NSW,-29.5167,151.75,New England and North West
East Ballina,NSW,-28.8571,153.5874,
Pimlico Island,NSW,-28.8597,153.5354,Richmond - Tweed
Kinvara,NSW,-28.7863,153.5189,Richmond - Tweed
Lennox Head,NSW,-28.7913,153.592,
Ballina Dc,NSW,-28.8597,153.5354,Regional NSW
Pimlico,NSW,-28.9152,153.4846,Regional NSW
Coolgardie,NSW,-28.9115,153.4567,Regional NSW
South Ballina,NSW,-28.8841,153.5616,
Ballina,NSW,-28.8641,153.5654,
Tintenbar,NSW,-28.7988,153.522,Richmond - Tweed
Empire Vale,NSW,-28.9168,153.5153,
Teven,NSW,-28.8167,153.5,Richmond - Tweed
West Ballina,NSW,-28.862,153.5329,
Cumbalum,NSW,-28.8225,153.5284,Richmond - Tweed
Keith Hall,NSW,-28.8935,153.549,
Patchs Beach,NSW,-28.9474,153.5147,
Skennars Head,NSW,-28.8289,153.6021,
Nashua,NSW,-28.7275,153.469,Richmond - Tweed
Fernleigh,NSW,-28.7688,153.4985,Richmond - Tweed
Knockrow,NSW,-28.7658,153.5371,Richmond - Tweed
Coopers Shoot,NSW,-28.6828,153.593,Richmond - Tweed
Coorabell,NSW,-28.6333,153.4833,Richmond - Tweed
Brooklet,NSW,-28.7465,153.5087,Richmond - Tweed
Mcleods Shoot,NSW,-28.6522,153.5585,Richmond - Tweed
Bangalow,NSW,-28.6863,153.5215,Richmond - Tweed
St Helena,NSW,-28.7057,153.5176,Melbourne - North East
Newrybar,NSW,-28.7206,153.529,Richmond - Tweed
Possum Creek,NSW,-28.6773,153.4958,Richmond - Tweed
Binna Burra,NSW,-28.7016,153.4988,Regional NSW
Nightcap,NSW,-28.7493,153.2724,Richmond - Tweed
Mountain Top,NSW,-28.6126,153.1727,Richmond - Tweed
Terania Creek,NSW,-28.6186,153.2928,Richmond - Tweed
Boat Harbour,NSW,-28.3167,153.35,Regional NSW
Caniaba,NSW,-28.8302,153.2036,Richmond - Tweed
Mcleans Ridges,NSW,-28.8,153.3833,Richmond - Tweed
Lillian Rock,NSW,-28.5349,153.1585,Richmond - Tweed
Eureka,NSW,-28.6818,153.4346,Regional NSW
Mckees Hill,NSW,-28.8833,153.2,Richmond - Tweed
Bentley,NSW,-28.7793,153.1135,Ballarat
Modanville,NSW,-28.7152,153.301,Richmond - Tweed
Tullera,NSW,-28.7482,153.2915,Richmond - Tweed
Booyong,NSW,-28.746,153.4522,Richmond - Tweed
Whian Whian,NSW,-28.6396,153.3145,Richmond - Tweed
Georgica,NSW,-28.6562,153.1803,Richmond - Tweed
Coffee Camp,NSW,-28.6569,153.2281,Richmond - Tweed
Chilcotts Grass,NSW,-28.8299,153.3357,Richmond - Tweed
Tregeagle,NSW,-28.8403,153.3487,Richmond - Tweed
Loftville,NSW,-28.8413,153.2536,Richmond - Tweed
