suburb,state,latitude,longitude,assigned_region,index_right,SA4_NAME21,final_region,was_different
Fernleigh,NSW,-28.7688,153.4985,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Knockrow,NSW,-28.7658,153.5371,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Coopers Shoot,NSW,-28.6828,153.593,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Coorabell,NSW,-28.6333,153.4833,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Brooklet,NSW,-28.7465,153.5087,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mcleods Shoot,NSW,-28.6522,153.5585,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bangalow,NSW,-28.6863,153.5215,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
St Helena,NSW,-28.7057,153.5176,Melbourne - North East,11.0,Richmond - Tweed,Richmond - Tweed,True
Newrybar,NSW,-28.7206,153.529,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Possum Creek,NSW,-28.6773,153.4958,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Nightcap,NSW,-28.7493,153.2724,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mountain Top,NSW,-28.6126,153.1727,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Terania Creek,NSW,-28.6186,153.2928,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Caniaba,NSW,-28.8302,153.2036,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mcleans Ridges,NSW,-28.8,153.3833,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lillian Rock,NSW,-28.5349,153.1585,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mckees Hill,NSW,-28.8833,153.2,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bentley,NSW,-28.7793,153.1135,Ballarat,11.0,Richmond - Tweed,Richmond - Tweed,True
Modanville,NSW,-28.7152,153.301,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tullera,NSW,-28.7482,153.2915,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Booyong,NSW,-28.746,153.4522,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Whian Whian,NSW,-28.6396,153.3145,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Georgica,NSW,-28.6562,153.1803,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Coffee Camp,NSW,-28.6569,153.2281,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Chilcotts Grass,NSW,-28.8299,153.3357,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tregeagle,NSW,-28.8403,153.3487,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Loftville,NSW,-28.8413,153.2536,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Wyrallah,NSW,-28.8893,153.2991,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Monaltrie,NSW,-28.8521,153.2906,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Goolmangar,NSW,-28.7508,153.2248,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Dorroughby,NSW,-28.6575,153.3547,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Nimbin,NSW,-28.5954,153.2234,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bungabbee,NSW,-28.7755,153.1501,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Rosebank,NSW,-28.6667,153.4,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
North Lismore,NSW,-28.7888,153.2803,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Blue Knob,NSW,-28.5448,153.1868,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Blakebrook,NSW,-28.7603,153.2384,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tucki Tucki,NSW,-28.9333,153.3167,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
South Lismore,NSW,-28.8163,153.2562,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Boorabee Park,NSW,-28.6863,153.0489,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Upper Coopers Creek,NSW,-28.5998,153.4011,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Leycester,NSW,-28.7833,153.2,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tuckurimba,NSW,-28.9667,153.3167,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
South Gundurimba,NSW,-28.8852,153.2397,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
The Channon,NSW,-28.6716,153.2797,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Ruthven,NSW,-28.9339,153.2784,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Dunoon,NSW,-28.6846,153.3177,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Stony Chute,NSW,-28.5817,153.1641,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Numulgi,NSW,-28.7233,153.327,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
