suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Pigeon Island/Wāwāhi Waka,Queenstown-Lakes District,-44.922910115006026,168.39746484750455,1780.0,4809.0,Pigeon Island/Wāwāhi Waka,"Pigeon Island, Wawahi Waka, Lake Wakatipu",Island,,,Queenstown-Lakes District,,Pigeon Island/Wawahi Waka,"Pigeon Island, Wawahi Waka, Lake Wakatipu",,Queenstown-Lakes District,Queenstown-Lakes District,False
Worser Bay,Area outside Territorial Authority,-41.31536110671341,174.83257559434435,1781.0,7889.0,Worser Bay,"Wellington Harbour / Port Nicholson, Cook Strait",Coastal Bay,,,Area outside Territorial Authority,,Worser Bay,"Wellington Harbour / Port Nicholson, Cook Strait",,Area outside Territorial Authority,Area outside Territorial Authority,False
Pārengarenga Harbour,Far North District,-34.52896980595887,172.93223955007426,1782.0,8484.0,Pārengarenga Harbour,,Coastal Bay,,,Far North District,,Parengarenga Harbour,,,Far North District,Far North District,False
Moturewa Island,Area outside Territorial Authority,-35.722656655724634,174.570362050743,1783.0,4630.0,Moturewa Island,,Island,,,Area outside Territorial Authority,,Moturewa Island,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Hāwea / Bligh Sound,Southland District,-44.79926346465638,167.5088652763525,4655.0,6536.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Conservation Land,Fiordland National Park,Major Locality,Southland District,105.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Fiordland National Park,Southland District,Southland District,False
Motumāhanga / Saddleback,New Plymouth District,-39.045507034860734,174.01480709779597,1785.0,4582.0,Motumāhanga / Saddleback,"Ngā Motu/Sugar Loaf Islands, Motumahanga, Saddleback, North Taranaki Bight",Island,,,New Plymouth District,,Motumahanga / Saddleback,"Nga Motu/Sugar Loaf Islands, Motumahanga, Saddleback, North Taranaki Bight",,New Plymouth District,New Plymouth District,False
Goulter Bay,Marlborough District,-41.17174430017128,174.01110302335175,1786.0,6857.0,Goulter Bay,Kenepuru Sound,Coastal Bay,,,Marlborough District,,Goulter Bay,Kenepuru Sound,,Marlborough District,Marlborough District,False
Dartmoor Bay,Marlborough District,-41.24816163674201,173.9711931051426,1787.0,6751.0,Dartmoor Bay,"Onahau Bay, Queen Charlotte Sound (Totaranui)",Coastal Bay,,,Marlborough District,,Dartmoor Bay,"Onahau Bay, Queen Charlotte Sound (Totaranui)",,Marlborough District,Marlborough District,False
Motukaroro,Far North District,-35.0109305806729,173.94917471204857,1788.0,4555.0,Motukaroro,Cavalli Islands,Island,,,Far North District,,Motukaroro,Cavalli Islands,,Far North District,Far North District,False
Half Moon Bay,Area outside Territorial Authority,-42.25627713347058,173.8137235648812,1789.0,6872.0,Half Moon Bay,,Coastal Bay,,,Area outside Territorial Authority,,Half Moon Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
