suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Te Awaiti Bay,Marlborough District,-41.20915114038377,174.28930471030014,2697.0,8517.0,Te Awaiti Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Te Awaiti Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Sandy Bay,Wairoa District,-38.703863781233295,177.1842139822033,2698.0,7473.0,Sandy Bay,Lake Waikareiti,Inland Bay,,,Wairoa District,,Sandy Bay,Lake Waikareiti,,Wairoa District,Wairoa District,False
Decanter Bay,Christchurch City,-43.65265120259546,172.9990712263545,2699.0,6755.0,Decanter Bay,,Coastal Bay,,,Christchurch City,,Decanter Bay,,,Christchurch City,Christchurch City,False
Kaikākahi Bay,Rotorua District,-38.12827229720988,176.39294382416182,2700.0,6974.0,Kaikākahi Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Ōkataina/Te Moana i kataina ā Te Rangitakaroro",Inland Bay,,,Rotorua District,,Kaikakahi Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Okataina/Te Moana i kataina a Te Rangitakaroro",,Rotorua District,Rotorua District,False
Shag Rock,Area outside Territorial Authority,-42.36940953094256,171.221635653117,2701.0,4926.0,Shag Rock,,Island,,,Area outside Territorial Authority,,Shag Rock,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Elephant Cove,Area outside Territorial Authority,-36.65745701764847,175.3733473413194,2702.0,8023.0,Elephant Cove,Hauraki Gulf,Coastal Bay,,,Area outside Territorial Authority,,Elephant Cove,Hauraki Gulf,,Area outside Territorial Authority,Area outside Territorial Authority,False
Ladies Bay,Auckland,-36.84467504377592,174.86131118458718,2703.0,7037.0,Ladies Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Ladies Bay,Hauraki Gulf,,Auckland,Auckland,False
Motukopu Island,Thames-Coromandel District,-36.68774724215637,175.6102871653353,2704.0,4572.0,Motukopu Island,,Island,,,Thames-Coromandel District,,Motukopu Island,,,Thames-Coromandel District,Thames-Coromandel District,False
Waiaka Bay,Area outside Territorial Authority,-37.54689468973073,178.14067174929662,2705.0,7736.0,Waiaka Bay,,Coastal Bay,,,Area outside Territorial Authority,,Waiaka Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Constant Bay,Area outside Territorial Authority,-41.902810841925486,171.4319744495334,2706.0,6730.0,Constant Bay,,Coastal Bay,,,Area outside Territorial Authority,,Constant Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Cuttle Cove,Southland District,-46.06410568237339,166.6613379757896,2707.0,7998.0,Cuttle Cove,Rakituma / Preservation Inlet,Coastal Bay,,,Southland District,,Cuttle Cove,Rakituma / Preservation Inlet,,Southland District,Southland District,False
Hollands Bay,Area outside Territorial Authority,-36.23967642636308,174.26903152185454,2708.0,6922.0,Hollands Bay,Kaipara Harbour,Coastal Bay,,,Area outside Territorial Authority,,Hollands Bay,Kaipara Harbour,,Area outside Territorial Authority,Area outside Territorial Authority,False
Awakiriapa Bay,Auckland,-36.80245222608756,175.16478440024608,2709.0,7921.0,Awakiriapa Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Awakiriapa Bay,Hauraki Gulf,,Auckland,Auckland,False
North West Bay / Oira,Area outside Territorial Authority,-37.29198295236514,176.23263119926247,2710.0,8475.0,North West Bay / Oira,"Bay Of Plenty, North West Bay, Oira",Coastal Bay,,,Area outside Territorial Authority,,North West Bay / Oira,"Bay Of Plenty, North West Bay, Oira",,Area outside Territorial Authority,Area outside Territorial Authority,False
Livingstone Bay,Christchurch City,-43.59854976059595,172.7656947020155,2711.0,7063.0,Livingstone Bay,Lyttelton Harbour/Whakaraupō,Coastal Bay,,,Christchurch City,,Livingstone Bay,Lyttelton Harbour/Whakaraupo,,Christchurch City,Christchurch City,False
Potuatua Island,Southland District,-47.10739746234776,168.20266925930065,2712.0,4830.0,Potuatua Island,"Breaksea Islands, Tītī / Muttonbird Islands",Island,,,Southland District,,Potuatua Island,"Breaksea Islands, Titi / Muttonbird Islands",,Southland District,Southland District,False
Te Karo Island,Area outside Territorial Authority,-35.01681036383761,173.9414677026977,2713.0,5001.0,Te Karo Island,"Cavalli Islands, Cavalli Passage",Island,,,Area outside Territorial Authority,,Te Karo Island,"Cavalli Islands, Cavalli Passage",,Area outside Territorial Authority,Area outside Territorial Authority,False
Toretore Island,Far North District,-35.28428391571666,174.11150845429358,2714.0,5069.0,Toretore Island,Bay Of Islands,Island,,,Far North District,,Toretore Island,Bay Of Islands,,Far North District,Far North District,False
Parua Bay,Whangarei District,-35.78118327583959,174.45510211185166,2715.0,8247.0,Parua Bay,Whangārei Harbour,Coastal Bay,,,Whangarei District,,Parua Bay,Whangarei Harbour,,Whangarei District,Whangarei District,False
Elliot Bay,Area outside Territorial Authority,-35.27435393550977,174.29311356197152,2716.0,6794.0,Elliot Bay,,Coastal Bay,,,Area outside Territorial Authority,,Elliot Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Wattle Bay,Auckland,-37.04219134329128,174.58718402385873,2717.0,7815.0,Wattle Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Wattle Bay,Manukau Harbour,,Auckland,Auckland,False
Eve Bay,Area outside Territorial Authority,-41.33440536229119,174.82838509278454,2718.0,6800.0,Eve Bay,"Wellington Harbour / Port Nicholson, Cook Strait",Coastal Bay,,,Area outside Territorial Authority,,Eve Bay,"Wellington Harbour / Port Nicholson, Cook Strait",,Area outside Territorial Authority,Area outside Territorial Authority,False
Cone Island,Far North District,-34.95335083579436,173.76716294190575,2719.0,4254.0,Cone Island,Whangaroa Bay,Island,,,Far North District,,Cone Island,Whangaroa Bay,,Far North District,Far North District,False
Rabbit Island,Whangarei District,-35.78869061174932,174.34770217066804,2720.0,4859.0,Rabbit Island,"Onerahi, Whangārei Harbour",Island,,,Whangarei District,,Rabbit Island,"Onerahi, Whangarei Harbour",,Whangarei District,Whangarei District,False
Motunui Island,Area outside Territorial Authority,-37.78799949925022,177.64893608954335,2721.0,4598.0,Motunui Island,Omaio Bay,Island,,,Area outside Territorial Authority,,Motunui Island,Omaio Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Camp Bay,Southland District,-45.08396049516124,167.8633263390683,2722.0,6681.0,Camp Bay,Lake Te Anau,Inland Bay,,,Southland District,,Camp Bay,Lake Te Anau,,Southland District,Southland District,False
Owhai Bay,Area outside Territorial Authority,-35.32483827117984,174.3741924871212,2723.0,8234.0,Owhai Bay,,Coastal Bay,,,Area outside Territorial Authority,,Owhai Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Nimrod Inlet,Auckland,-36.800445999233176,174.67001739780537,2724.0,7199.0,Nimrod Inlet,"Waitematā Harbour, Hauraki Gulf",Coastal Bay,,,Auckland,,Nimrod Inlet,"Waitemata Harbour, Hauraki Gulf",,Auckland,Auckland,False
Double Bay,Marlborough District,-41.21630774769319,174.1901105451775,2725.0,8013.0,Double Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Double Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Whangamumu Harbour,Area outside Territorial Authority,-35.24591232567186,174.30899158345517,2726.0,8415.0,Whangamumu Harbour,,Coastal Bay,,,Area outside Territorial Authority,,Whangamumu Harbour,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Robin Hood Bay,Area outside Territorial Authority,-43.86713249085167,172.79898187955325,2727.0,7445.0,Robin Hood Bay,,Coastal Bay,,,Area outside Territorial Authority,,Robin Hood Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Kaingahoa Bay,Far North District,-35.234147321889026,174.2572649790047,2728.0,6978.0,Kaingahoa Bay,"Te Rawhiti Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Kaingahoa Bay,"Te Rawhiti Inlet, Bay Of Islands",,Far North District,Far North District,False
Stevens Cove,Southland District,-45.60125738087814,166.6744851574806,2729.0,8323.0,Stevens Cove,,Coastal Bay,,,Southland District,,Stevens Cove,,,Southland District,Southland District,False
Wyuna Bay,Thames-Coromandel District,-36.76196997861163,175.46403214416688,2730.0,7892.0,Wyuna Bay,"Mcgregor Bay, Hauraki Gulf",Coastal Bay,,,Thames-Coromandel District,,Wyuna Bay,"Mcgregor Bay, Hauraki Gulf",,Thames-Coromandel District,Thames-Coromandel District,False
Groper Island,Southland District,-46.95311410998538,168.14529011462702,2731.0,4337.0,Groper Island,Paterson Inlet/Whaka a Te Wera,Island,,,Southland District,,Groper Island,Paterson Inlet/Whaka a Te Wera,,Southland District,Southland District,False
Tawhiti Rahi Island,Whangarei District,-35.456218952568335,174.73746455579695,2732.0,4985.0,Tawhiti Rahi Island,Poor Knights Islands,Island,,,Whangarei District,,Tawhiti Rahi Island,Poor Knights Islands,,Whangarei District,Whangarei District,False
Hidden Island,Queenstown-Lakes District,-45.06988543031572,168.64926490567103,2733.0,4364.0,Hidden Island,Lake Wakatipu,Island,,,Queenstown-Lakes District,,Hidden Island,Lake Wakatipu,,Queenstown-Lakes District,Queenstown-Lakes District,False
Tasman Bay,Area outside Territorial Authority,-34.16340997894521,172.1460583129256,2734.0,8921.0,Tasman Bay,,Coastal Bay,,,Area outside Territorial Authority,,Tasman Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Port Adventure,Area outside Territorial Authority,-47.069340064834535,168.1888846874309,2735.0,8493.0,Port Adventure,,Coastal Bay,,,Area outside Territorial Authority,,Port Adventure,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Hāpua / Sutherland Sound,Southland District,-44.74287071215704,167.58442239824822,4655.0,6536.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Conservation Land,Fiordland National Park,Major Locality,Southland District,105.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Fiordland National Park,Southland District,Southland District,False
Manawatāwhi / Great Island,Area outside Territorial Authority,-34.156534158913374,172.13879716022282,2737.0,4331.0,Manawatāwhi / Great Island,"Manawatāwhi/Three Kings Islands, Great Island, Manawatawhi",Island,,,Area outside Territorial Authority,,Manawatawhi / Great Island,"Manawatawhi/Three Kings Islands, Great Island, Manawatawhi",,Area outside Territorial Authority,Area outside Territorial Authority,False
Rakaunui Inlet,Ōtorohanga District,-38.11347022324448,174.87533095647004,4376.0,2033.0,Hauturu,"Pukeinoi, Rakaunui",Locality,Ōpārau,Major Locality,"Ōtorohanga District, Waitomo District",173.0,Hauturu,"Pukeinoi, Rakaunui",Oparau,"Otorohanga District, Waitomo District","Ōtorohanga District, Waitomo District",False
Motuotuna Island,Far North District,-34.8134330921066,173.1363235936409,2739.0,4615.0,Motuotuna Island,Rangaunu Bay,Island,,,Far North District,,Motuotuna Island,Rangaunu Bay,,Far North District,Far North District,False
Taieri Island/Moturata,Clutha District,-46.05776288918506,170.21737827757596,2740.0,4962.0,Taieri Island/Moturata,"Moturata, Taieri Island",Island,,,Clutha District,,Taieri Island/Moturata,"Moturata, Taieri Island",,Clutha District,Clutha District,False
Whatamango Bay,Marlborough District,-41.25904757497777,174.07437884820118,2741.0,7866.0,Whatamango Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Whatamango Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Papawai Bay,Marlborough District,-40.99969841150808,173.74531227590845,2742.0,7332.0,Papawai Bay,,Coastal Bay,,,Marlborough District,,Papawai Bay,,,Marlborough District,Marlborough District,False
Little Kuri Bay,Area outside Territorial Authority,-47.10783081925936,168.15321448716762,2743.0,8126.0,Little Kuri Bay,,Coastal Bay,,,Area outside Territorial Authority,,Little Kuri Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Pukatea Bay,Marlborough District,-41.2019548458073,174.00938785707967,2744.0,7407.0,Pukatea Bay,Kenepuru Sound,Coastal Bay,,,Marlborough District,,Pukatea Bay,Kenepuru Sound,,Marlborough District,Marlborough District,False
Pohowaitai Island,Southland District,-47.22461943326808,167.32518588788724,2745.0,4820.0,Pohowaitai Island,Tītī / Muttonbird Islands,Island,,,Southland District,,Pohowaitai Island,Titi / Muttonbird Islands,,Southland District,Southland District,False
Blumine Island / Ōruawairua,Marlborough District,-41.172838418361565,174.23865790268744,2746.0,4213.0,Blumine Island / Ōruawairua,"Blumine Island, Oruawairua, Queen Charlotte Sound (Totaranui)",Island,Marlborough Sounds,Major Locality,Marlborough District,,Blumine Island / Oruawairua,"Blumine Island, Oruawairua, Queen Charlotte Sound (Totaranui)",Marlborough Sounds,Marlborough District,Marlborough District,False
Hamaruru Island,Far North District,-34.97565291275299,173.9461176072893,2747.0,4343.0,Hamaruru Island,Cavalli Islands,Island,,,Far North District,,Hamaruru Island,Cavalli Islands,,Far North District,Far North District,False
Wairoa Bay,Far North District,-35.25410573140831,174.07547110016793,2748.0,7790.0,Wairoa Bay,Bay Of Islands,Coastal Bay,,,Far North District,,Wairoa Bay,Bay Of Islands,,Far North District,Far North District,False
Ohariu Bay,Area outside Territorial Authority,-41.21795751243995,174.7120839077378,2749.0,7213.0,Ohariu Bay,Cook Strait,Coastal Bay,,,Area outside Territorial Authority,,Ohariu Bay,Cook Strait,,Area outside Territorial Authority,Area outside Territorial Authority,False
Isthmus Sound,Southland District,-46.0391914943509,166.7061343117317,2750.0,6953.0,Isthmus Sound,Rakituma / Preservation Inlet,Coastal Bay,,,Southland District,,Isthmus Sound,Rakituma / Preservation Inlet,,Southland District,Southland District,False
Diprose Bay,Area outside Territorial Authority,-47.15793130121411,167.70950826956823,2751.0,8007.0,Diprose Bay,"North Arm, Port Pegasus / Pikihatiti",Coastal Bay,,,Area outside Territorial Authority,,Diprose Bay,"North Arm, Port Pegasus / Pikihatiti",,Area outside Territorial Authority,Area outside Territorial Authority,False
Motupapa Island / Cocked Hat Island,Far North District,-35.19968219584718,174.04896761434614,2752.0,4618.0,Motupapa Island / Cocked Hat Island,"Cocked Hat Island, Motupapa Island, Bay Of Islands",Island,,,Far North District,,Motupapa Island / Cocked Hat Island,"Cocked Hat Island, Motupapa Island, Bay Of Islands",,Far North District,Far North District,False
Moko Bay,Area outside Territorial Authority,-36.436091674972175,175.77970299072365,2753.0,8471.0,Moko Bay,,Coastal Bay,,,Area outside Territorial Authority,,Moko Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Garden Cove,Auckland,-36.76485630678897,175.13636906634505,2754.0,8046.0,Garden Cove,Hauraki Gulf,Coastal Bay,,,Auckland,,Garden Cove,Hauraki Gulf,,Auckland,Auckland,False
Te Moenga Bay,Taupo District,-38.70319451170505,176.03780547719975,2755.0,7632.0,Te Moenga Bay,"Tapuaeharuru Bay, Lake Taupo (Taupomoana)",Inland Bay,,,Taupo District,,Te Moenga Bay,"Tapuaeharuru Bay, Lake Taupo (Taupomoana)",,Taupo District,Taupo District,False
Mahuki Island / Anvil Island,Auckland,-36.23206865921735,175.30325957529763,2756.0,4476.0,Mahuki Island / Anvil Island,"Broken Islands (Pig Islands), Anvil Island, Mahuki Island, Hauraki Gulf",Island,,,Auckland,,Mahuki Island / Anvil Island,"Broken Islands (Pig Islands), Anvil Island, Mahuki Island, Hauraki Gulf",,Auckland,Auckland,False
Mōkau Bay,Marlborough District,-40.85898642541223,173.84255374172048,2757.0,8569.0,Mōkau Bay,Greville Harbour,Coastal Bay,,,Marlborough District,,Mokau Bay,Greville Harbour,,Marlborough District,Marlborough District,False
Annie Bay,Marlborough District,-40.97606864409859,174.07820634362892,2758.0,7913.0,Annie Bay,,Coastal Bay,,,Marlborough District,,Annie Bay,,,Marlborough District,Marlborough District,False
Awahoa Bay,Area outside Territorial Authority,-35.74721606142697,174.55659136119212,2759.0,6608.0,Awahoa Bay,,Coastal Bay,,,Area outside Territorial Authority,,Awahoa Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Cascade Basin,Southland District,-45.92793643666926,166.91478235460147,2760.0,6693.0,Cascade Basin,Long Sound,Coastal Bay,,,Southland District,,Cascade Basin,Long Sound,,Southland District,Southland District,False
Raynbirds Bay,Dunedin City,-45.851442531745626,170.59969917193897,2761.0,7431.0,Raynbirds Bay,Otago Harbour,Coastal Bay,,,Dunedin City,,Raynbirds Bay,Otago Harbour,,Dunedin City,Dunedin City,False
Double Cove,Marlborough District,-41.23437727643744,174.0147684599244,2762.0,6773.0,Double Cove,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Double Cove,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Island Bay,Area outside Territorial Authority,-43.8908567806596,172.86756418473365,2763.0,6948.0,Island Bay,,Coastal Bay,,,Area outside Territorial Authority,,Island Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motutapere Island,Far North District,-34.971239424599894,173.9407703690378,2764.0,4646.0,Motutapere Island,Cavalli Islands,Island,,,Far North District,,Motutapere Island,Cavalli Islands,,Far North District,Far North District,False
Barn Bay,Area outside Territorial Authority,-44.08046356292757,168.3235577008786,2765.0,8918.0,Barn Bay,,Coastal Bay,,,Area outside Territorial Authority,,Barn Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Whitianga Bay,Area outside Territorial Authority,-37.83280379788668,177.59738206653583,2766.0,7875.0,Whitianga Bay,Bay Of Plenty,Coastal Bay,,,Area outside Territorial Authority,,Whitianga Bay,Bay Of Plenty,,Area outside Territorial Authority,Area outside Territorial Authority,False
Great Island,Southland District,-45.99298465331241,166.56168888966835,2767.0,6519.0,Great Island,Gt Island,Island,,,Southland District,,Great Island,Gt Island,,Southland District,Southland District,False
Matapaua Bay,Area outside Territorial Authority,-36.74120745472408,175.80942920577507,2768.0,7120.0,Matapaua Bay,,Coastal Bay,,,Area outside Territorial Authority,,Matapaua Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Tunnel Bay,Marlborough District,-41.05740985765462,174.18454608459444,2769.0,7714.0,Tunnel Bay,Port Gore,Coastal Bay,,,Marlborough District,,Tunnel Bay,Port Gore,,Marlborough District,Marlborough District,False
Big Kuri Bay,Area outside Territorial Authority,-47.11842775786574,168.045864886323,2770.0,7930.0,Big Kuri Bay,,Coastal Bay,,,Area outside Territorial Authority,,Big Kuri Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Toe Cove,Southland District,-45.17485992107,167.1419969103597,2771.0,7692.0,Toe Cove,"Foot Arm, Nancy Sound",Coastal Bay,,,Southland District,,Toe Cove,"Foot Arm, Nancy Sound",,Southland District,Southland District,False
Lighthouse Bay,Area outside Territorial Authority,-35.96255519415835,174.69895309894335,2772.0,8121.0,Lighthouse Bay,,Coastal Bay,,,Area outside Territorial Authority,,Lighthouse Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Lagoon Bay,Area outside Territorial Authority,-46.7631428043851,168.4839260955109,2773.0,8464.0,Lagoon Bay,,Coastal Bay,,,Area outside Territorial Authority,,Lagoon Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Foam Bay,Area outside Territorial Authority,-35.48172397661814,174.74701212955716,2774.0,8039.0,Foam Bay,,Coastal Bay,,,Area outside Territorial Authority,,Foam Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Waikauri Bay,Auckland,-36.38035402086981,174.8102931247676,2775.0,7755.0,Waikauri Bay,"Kawau Bay, Hauraki Gulf",Coastal Bay,,,Auckland,,Waikauri Bay,"Kawau Bay, Hauraki Gulf",,Auckland,Auckland,False
Ngāmimiro Bay,Rotorua District,-38.02135408286095,176.54336358880374,2776.0,8738.0,Ngāmimiro Bay,Lake Rotoehu,Inland Bay,,,Rotorua District,,Ngamimiro Bay,Lake Rotoehu,,Rotorua District,Rotorua District,False
Kaitarakihi Bay,Auckland,-37.00913636506978,174.5844479611769,2777.0,6982.0,Kaitarakihi Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Kaitarakihi Bay,Manukau Harbour,,Auckland,Auckland,False
Motuhuia,Area outside Territorial Authority,-35.032041751633784,173.9660748641359,2778.0,4542.0,Motuhuia,Cavalli Islands,Island,,,Area outside Territorial Authority,,Motuhuia,Cavalli Islands,,Area outside Territorial Authority,Area outside Territorial Authority,False
Halfmoon Bay,Area outside Territorial Authority,-46.89358970689319,168.1437912040432,2779.0,8456.0,Halfmoon Bay,,Coastal Bay,,,Area outside Territorial Authority,,Halfmoon Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Tokomaru No. 3 Reservoir,Horowhenua District,-40.58772220541542,175.48179132941175,2780.0,3821.0,Tokomaru No. 3 Reservoir,,Lake,,,Horowhenua District,,Tokomaru No. 3 Reservoir,,,Horowhenua District,Horowhenua District,False
The Snuggery,Area outside Territorial Authority,-46.93679046906006,168.13945643470774,2781.0,8363.0,The Snuggery,Paterson Inlet/Whaka a Te Wera,Coastal Bay,,,Area outside Territorial Authority,,The Snuggery,Paterson Inlet/Whaka a Te Wera,,Area outside Territorial Authority,Area outside Territorial Authority,False
Cow Island,Southland District,-46.9492089042188,168.1809834883979,2782.0,4263.0,Cow Island,,Island,,,Southland District,,Cow Island,,,Southland District,Southland District,False
Pillar Rock,Far North District,-35.254509484542375,174.32243598594357,2783.0,4811.0,Pillar Rock,,Island,,,Far North District,,Pillar Rock,,,Far North District,Far North District,False
Waitai Bay,Marlborough District,-40.77473969639336,173.94405517390095,2784.0,8399.0,Waitai Bay,Rangitoto Roads,Coastal Bay,,,Marlborough District,,Waitai Bay,Rangitoto Roads,,Marlborough District,Marlborough District,False
Burgess Bay,Auckland,-36.4443875737944,174.8771357495576,2785.0,7955.0,Burgess Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Burgess Bay,Hauraki Gulf,,Auckland,Auckland,False
Quarantine Island/Kamau Taurua,Dunedin City,-45.82839497555187,170.6332135979495,2786.0,4854.0,Quarantine Island/Kamau Taurua,"Kamau Taurua, Quarantine Island, Otago Harbour",Island,,,Dunedin City,,Quarantine Island/Kamau Taurua,"Kamau Taurua, Quarantine Island, Otago Harbour",,Dunedin City,Dunedin City,False
Katherine Bay,Auckland,-36.12047278324564,175.35527641593927,2787.0,8098.0,Katherine Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Katherine Bay,Hauraki Gulf,,Auckland,Auckland,False
Second Cove,Southland District,-45.551738438063936,166.80784823371303,2788.0,7486.0,Second Cove,Te Puaitaha / Breaksea Sound,Coastal Bay,,,Southland District,,Second Cove,Te Puaitaha / Breaksea Sound,,Southland District,Southland District,False
Swell Bay,Hurunui District,-42.70209357972957,172.2413326452179,2789.0,7556.0,Swell Bay,Lake Sumner,Inland Bay,,,Hurunui District,,Swell Bay,Lake Sumner,,Hurunui District,Hurunui District,False
Bird Island,Tasman District,-41.2669160739705,173.1091268058075,2790.0,4183.0,Bird Island,Waimea Inlet,Island,,,Tasman District,,Bird Island,Waimea Inlet,,Tasman District,Tasman District,False
Harrold Bay,Area outside Territorial Authority,-46.89502219861087,168.15456906120826,2791.0,8058.0,Harrold Bay,Halfmoon Bay,Coastal Bay,,,Area outside Territorial Authority,,Harrold Bay,Halfmoon Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Kaio Bay,Area outside Territorial Authority,-43.86747813994876,172.77999765248836,2792.0,7614.0,Te Kaio Bay,,Coastal Bay,,,Area outside Territorial Authority,,Te Kaio Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Deserter Bay,Marlborough District,-40.78054974893944,173.92253500204413,2793.0,8005.0,Deserter Bay,"East Arm, Port Hardy",Coastal Bay,,,Marlborough District,,Deserter Bay,"East Arm, Port Hardy",,Marlborough District,Marlborough District,False
Bullock Bay,Marlborough District,-40.8610382849266,173.82279255427696,2794.0,7953.0,Bullock Bay,Greville Harbour,Coastal Bay,,,Marlborough District,,Bullock Bay,Greville Harbour,,Marlborough District,Marlborough District,False
Tahapuke Bay,Far North District,-35.266192644558274,174.12053979327794,2795.0,7562.0,Tahapuke Bay,Bay Of Islands,Coastal Bay,,,Far North District,,Tahapuke Bay,Bay Of Islands,,Far North District,Far North District,False
Half Island,Thames-Coromandel District,-36.96904137933233,176.07572632343687,2796.0,4341.0,Half Island,The Aldermen Islands,Island,,,Thames-Coromandel District,,Half Island,The Aldermen Islands,,Thames-Coromandel District,Thames-Coromandel District,False
Ahoroa Rock,Far North District,-35.39868405361579,173.23932613211431,2797.0,4134.0,Ahoroa Rock,,Island,,,Far North District,,Ahoroa Rock,,,Far North District,Far North District,False
Homestead Bay,Marlborough District,-40.92616924874059,173.9642446949481,2798.0,8070.0,Homestead Bay,"Port Ligar, Waitātā Reach",Coastal Bay,,,Marlborough District,,Homestead Bay,"Port Ligar, Waitata Reach",,Marlborough District,Marlborough District,False
Gravel Cove,Southland District,-44.41349737604744,168.05554140003142,2799.0,6862.0,Gravel Cove,Lake Mckerrow / Whakatipu Waitai,Inland Bay,,,Southland District,,Gravel Cove,Lake Mckerrow / Whakatipu Waitai,,Southland District,Southland District,False
Paturoa Bay,Auckland,-36.95411825030727,174.660585313977,2800.0,7355.0,Paturoa Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Paturoa Bay,Manukau Harbour,,Auckland,Auckland,False
Te Waiawa Bay,Area outside Territorial Authority,-34.51192966680983,172.70151405940385,2801.0,7662.0,Te Waiawa Bay,,Coastal Bay,,,Area outside Territorial Authority,,Te Waiawa Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Jacky Lee Island,Southland District,-46.84852785919887,168.21206608634543,2802.0,4397.0,Jacky Lee Island,"Tītī / Muttonbird Islands, Pukeokaoka",Island,,,Southland District,,Jacky Lee Island,"Titi / Muttonbird Islands, Pukeokaoka",,Southland District,Southland District,False
Short Bay,Area outside Territorial Authority,-46.40686212703712,169.79386891773652,2803.0,7510.0,Short Bay,,Coastal Bay,,,Area outside Territorial Authority,,Short Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Home Bay,Auckland,-36.72691724855334,174.94908216420504,2804.0,8068.0,Home Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Home Bay,Hauraki Gulf,,Auckland,Auckland,False
Kōtukutuku Bay,Taupo District,-38.7928126028433,175.75679731572043,2805.0,6707.0,Kōtukutuku Bay,"Western Bay, Lake Taupo (Taupomoana)",Inland Bay,,,Taupo District,,Kotukutuku Bay,"Western Bay, Lake Taupo (Taupomoana)",,Taupo District,Taupo District,False
Motuwharangi Island,Thames-Coromandel District,-36.59994036795667,175.79725959057265,2806.0,4675.0,Motuwharangi Island,Mercury Islands,Island,,,Thames-Coromandel District,,Motuwharangi Island,Mercury Islands,,Thames-Coromandel District,Thames-Coromandel District,False
Manuhakapakapa,Marlborough District,-40.89997312978022,173.78137504531364,2807.0,8467.0,Manuhakapakapa,,Coastal Bay,,,Marlborough District,,Manuhakapakapa,,,Marlborough District,Marlborough District,False
Pakiwaha Bay,Wairoa District,-38.75880789318628,177.03974424440548,2808.0,7321.0,Pakiwaha Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",Inland Bay,,,Wairoa District,,Pakiwaha Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",,Wairoa District,Wairoa District,False
Molyneux Bay,Area outside Territorial Authority,-46.36368850097362,169.80222114052387,2809.0,7163.0,Molyneux Bay,,Coastal Bay,,,Area outside Territorial Authority,,Molyneux Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Rawiri Bay,Southland District,-45.56790015526232,167.54059646187065,2810.0,7430.0,Rawiri Bay,"Hope Arm, Lake Manapouri",Inland Bay,,,Southland District,,Rawiri Bay,"Hope Arm, Lake Manapouri",,Southland District,Southland District,False
