suburb,state,latitude,longitude,assigned_region
Five Ways,NSW,-32.2748,147.3438,
Nubingerie,NSW,-32.5167,148.6667,
Merrygoen,NSW,-31.8279,149.2326,
Brenda,NSW,-31.5929,148.1368,
Muriel,NSW,-31.5929,148.1368,
Neilrex,NSW,-31.7226,149.3043,
Westella,NSW,-32.3,148.9,
Elong Elong,NSW,-32.1235,149.0262,
Goodooga,NSW,-29.1131,147.4525,
Lightning Ridge,NSW,-29.4274,147.9787,
Angledool,NSW,-29.1102,147.9097,
Weilmoringle,NSW,-29.2428,146.9219,
Yantabulla,NSW,-29.3457,145.0012,
Urisino,NSW,-29.7252,143.7619,
Hungerford,NSW,-29.9029,145.1858,
Barringun,NSW,-28.8584,145.7219,
Wanaaring,NSW,-29.703,144.1451,
Enngonia,NSW,-29.3223,145.8471,
Ashfield,NSW,-33.8883,151.1227,
Burwood,NSW,-33.8833,151.1,
Burwood North,NSW,-33.8833,151.1,
Palmwoods,NSW,-28.5111,153.4049,
O'Connell,NSW,-33.5333,149.7333,
Newbridge,NSW,-33.5833,149.3833,
Colo,NSW,-33.4167,150.8071,
Abercrombie River,NSW,-33.8974,149.3439,
Glanmire,NSW,-33.4167,149.7167,
O’Connell,NSW,-33.5333,149.7333,
Oconnell,NSW,-33.5333,149.7333,
Charlton,NSW,-33.4403,149.6443,
Mitchell,NSW,-33.4273,149.5567,
Curragh,NSW,-33.4403,149.6443,
Jeremy,NSW,-33.9814,149.5205,
Wattle Flat,NSW,-33.15,149.7,
Trunkey,NSW,-33.8167,149.3333,
Forest Grove,NSW,-33.4403,149.6443,
Kelso,NSW,-33.4167,149.6,
Ballyroe,NSW,-34.008,149.5366,
Box Ridge,NSW,-31.4554,149.4884,
The Rocks,NSW,-33.8592,151.2081,
Yarras,NSW,-31.4189,152.3198,
Dunkeld,NSW,-33.4106,149.4808,
White Rock,NSW,-33.4403,149.6443,
Arkstone,NSW,-34.09,149.6124,
Paling Yards,NSW,-33.4403,149.6443,
Locksley,NSW,-33.5142,149.7982,
Stewarts Mount,NSW,-33.4403,149.6443,
Eglinton,NSW,-33.3773,149.5465,
Bathurst West,NSW,-33.4092,149.5632,
Llanarth,NSW,-33.3969,149.551,
Copperhannia,NSW,-33.9161,149.261,
Raglan,NSW,-33.4167,149.6667,
Bald Ridge,NSW,-33.8888,149.4609,
Beargamil,NSW,-33.1465,148.2135,
Bindogundra,NSW,-33.1465,148.2135,
Nanardine,NSW,-33.0667,148.1167,
Bumberry,NSW,-33.2,148.4833,
Mickibri,NSW,-33.1465,148.2135,
Shallow Rush,NSW,-33.1465,148.2135,
Parkesborough,NSW,-33.1833,148.1667,
Parkes,NSW,-33.1372,148.1759,
Goobang,NSW,-33.1,148.25,
