suburb,state,latitude,longitude
Dhule,Maharashtra,21.110382861836886,74.60125920093256
Dibang Valley,Arunanchal Pradesh,28.951948495916398,95.90281193599571
Dibrugarh,Assam,27.36671291850649,95.0561791383491
Dindigul,Tamil Nadu,10.389894341752631,77.82004096153759
Dindori,Madhya Pradesh,22.88947906097537,81.05575827465907
Diu,Daman & Diu,20.720892837252862,70.93987017773297
Doda,Jammu & Kashmir,33.101051746756156,75.64952465925822
Dohad,Gujarat,22.857654265418468,74.11597145381955
Dumka,Jharkhand,24.31997917236953,87.26656030765017
Dungarpur,Rajasthan,23.73275761371124,73.85516379411585
Durg,Chhattisgarh,21.193188454018447,81.35426265021084
Dimapur,Nagaland,25.778580015962287,93.78509785638924
East,NCT of Delhi,28.62925578920099,77.29802242701307
East,Sikkim,27.29281142638573,88.67805462332593
East Garo Hills,Meghalaya,25.73544258859237,90.6342312158179
East Godavari,Andhra Pradesh,17.18974600301442,82.01176353754786
East Kameng,Arunanchal Pradesh,27.442203539462078,92.96782650816385
East Khasi Hills,Meghalaya,25.380630658554328,91.80074638377764
East Nimar,Madhya Pradesh,21.936677242903862,76.57140702522656
East Siang,Arunanchal Pradesh,28.124358181605576,95.1632657043383
Ernakulam,Kerala,10.057721564195827,76.4726820614902
Erode,Tamil Nadu,11.515430868611498,77.41423155135529
Etah,Uttar Pradesh,27.51217827390708,78.71317469356927
Etawah,Uttar Pradesh,26.75955954369212,79.0965122931306
Faizabad,Uttar Pradesh,26.659053359726403,81.99234029010276
Faridabad,Haryana,28.332808563990014,77.35473911853194
Faridkot,Punjab,30.611090906732606,74.77906370098138
Farrukhabad,Uttar Pradesh,27.43062066920291,79.46126588927588
Fatehabad,Haryana,29.576648833370257,75.57926687875978
Fatehgarh Sahib,Punjab,30.632375780832103,76.36531097716012
Fatehpur,Uttar Pradesh,25.873650301704632,80.80676316840332
Firozabad,Uttar Pradesh,27.18084819684771,78.5398330511929
Firozpur,Punjab,30.56246427974126,74.40184714588969
Gadag,Karnataka,15.431542288170805,75.66626897896019
Gajapati,Odisha,19.173896573717432,84.16069469834926
Ganderbal,Jammu & Kashmir,34.29473158019875,75.19987499981802
Gandhinagar,Gujarat,23.25518556599645,72.69231730342706
Ganganagar,Rajasthan,29.39732092830364,73.56379115177859
Ganjam,Odisha,19.627706374318716,84.67105879106221
Garhchiroli,Maharashtra,19.78757022126696,80.24116420349455
Garhwa,Jharkhand,24.101791851258408,83.69916451326351
Garhwal,Uttarakhand,29.893428731630483,78.76963203550359
Gautam Buddha Nagar,Uttar Pradesh,28.398239110880485,77.54697488960794
Gaya,Bihar,24.699512675155102,84.93615017884639
Ghaziabad,Uttar Pradesh,28.73900053018485,77.70668502995807
Ghazipur,Uttar Pradesh,25.622636201155924,83.55621150000691
Giridih,Jharkhand,24.296898266377458,86.11021677253258
Goalpara,Assam,26.055525074948918,90.60545423705521
Godda,Jharkhand,24.859942344002842,87.31216131078797
Golaghat,Assam,26.45813796348384,93.83328362857883
